Date,Station Name,Reservoir Storage Volume % of Average (1981-2010)
Aug 1981,Applegate,57%
Aug 1982,Applegate,144%
Aug 1983,Applegate,163%
Aug 1984,Applegate,135%
Aug 1985,Applegate,102%
Aug 1986,Applegate,97%
Aug 1987,Applegate,103%
Aug 1988,Applegate,93%
Aug 1989,Applegate,112%
Aug 1990,Applegate,112%
Aug 1991,Applegate,109%
Aug 1992,Applegate,69%
Aug 1993,Applegate,132%
Aug 1994,Applegate,74%
Aug 1995,Applegate,128%
Aug 1996,Applegate,122%
Aug 1997,Applegate,105%
Aug 1998,Applegate,104%
Aug 1999,Applegate,88%
Aug 2000,Applegate,94%
Aug 2001,Applegate,22%
Aug 2002,Applegate,97%
Aug 2003,Applegate,100%
Aug 2004,Applegate,97%
Aug 2005,Applegate,100%
Aug 2006,Applegate,80%
Aug 2007,Applegate,92%
Aug 2008,Applegate,93%
Aug 2009,Applegate,97%
Aug 2010,Applegate,79%
Aug 2011,Applegate,94%
Aug 2012,Applegate,81%
Aug 2013,Applegate,78%
Aug 2014,Applegate,66%
Aug 2015,Applegate,34%
Aug 1936,Beulah                                  ,117%
Aug 1937,Beulah                                  ,71%
Aug 1938,Beulah                                  ,223%
Aug 1939,Beulah                                  ,296%
Aug 1940,Beulah                                  ,198%
Aug 1941,Beulah                                  ,214%
Aug 1942,Beulah                                  ,162%
Aug 1943,Beulah                                  ,223%
Aug 1944,Beulah                                  ,281%
Aug 1945,Beulah                                  ,332%
Aug 1946,Beulah                                  ,155%
Aug 1947,Beulah                                  ,161%
Aug 1948,Beulah                                  ,275%
Aug 1949,Beulah                                  ,171%
Aug 1950,Beulah                                  ,56%
Aug 1951,Beulah                                  ,61%
Aug 1952,Beulah                                  ,119%
Aug 1953,Beulah                                  ,198%
Aug 1954,Beulah                                  ,102%
Aug 1955,Beulah                                  ,0%
Aug 1956,Beulah                                  ,141%
Aug 1957,Beulah                                  ,101%
Aug 1958,Beulah                                  ,153%
Aug 1959,Beulah                                  ,70%
Aug 1960,Beulah                                  ,96%
Aug 1961,Beulah                                  ,0%
Aug 1962,Beulah                                  ,45%
Aug 1963,Beulah                                  ,116%
Aug 1964,Beulah                                  ,89%
Aug 1965,Beulah                                  ,205%
Aug 1966,Beulah                                  ,54%
Aug 1967,Beulah                                  ,137%
Aug 1968,Beulah                                  ,20%
Aug 1969,Beulah                                  ,77%
Aug 1970,Beulah                                  ,122%
Aug 1971,Beulah                                  ,137%
Aug 1972,Beulah                                  ,128%
Aug 1973,Beulah                                  ,13%
Aug 1974,Beulah                                  ,167%
Aug 1975,Beulah                                  ,156%
Aug 1976,Beulah                                  ,121%
Aug 1977,Beulah                                  ,3%
Aug 1978,Beulah                                  ,13%
Aug 1979,Beulah                                  ,41%
Aug 1980,Beulah                                  ,99%
Aug 1981,Beulah                                  ,156%
Aug 1982,Beulah                                  ,192%
Aug 1983,Beulah                                  ,232%
Aug 1984,Beulah                                  ,207%
Aug 1985,Beulah                                  ,138%
Aug 1986,Beulah                                  ,155%
Aug 1987,Beulah                                  ,26%
Aug 1988,Beulah                                  ,1%
Aug 1989,Beulah                                  ,110%
Aug 1990,Beulah                                  ,1%
Aug 1991,Beulah                                  ,1%
Aug 1992,Beulah                                  ,1%
Aug 1993,Beulah                                  ,193%
Aug 1994,Beulah                                  ,1%
Aug 1995,Beulah                                  ,246%
Aug 1996,Beulah                                  ,170%
Aug 1997,Beulah                                  ,200%
Aug 1998,Beulah                                  ,208%
Aug 1999,Beulah                                  ,189%
Aug 2000,Beulah                                  ,98%
Aug 2001,Beulah                                  ,13%
Aug 2002,Beulah                                  ,0%
Aug 2003,Beulah                                  ,0%
Aug 2004,Beulah                                  ,13%
Aug 2005,Beulah                                  ,116%
Aug 2006,Beulah                                  ,156%
Aug 2007,Beulah                                  ,0%
Aug 2008,Beulah                                  ,69%
Aug 2009,Beulah                                  ,4%
Aug 2010,Beulah                                  ,107%
Aug 2011,Beulah                                  ,179%
Aug 2012,Beulah                                  ,70%
Aug 2013,Beulah                                  ,10%
Aug 2014,Beulah                                  ,12%
Aug 2015,Beulah                                  ,14%
Aug 1975,Blue River,65%
Aug 1976,Blue River,53%
Aug 1977,Blue River,33%
Aug 1978,Blue River,57%
Aug 1979,Blue River,39%
Aug 1980,Blue River,57%
Aug 1981,Blue River,49%
Aug 1982,Blue River,78%
Aug 1983,Blue River,94%
Aug 1984,Blue River,105%
Aug 1985,Blue River,51%
Aug 1986,Blue River,43%
Aug 1987,Blue River,28%
Aug 1988,Blue River,62%
Aug 1989,Blue River,61%
Aug 1990,Blue River,56%
Aug 1991,Blue River,117%
Aug 1992,Blue River,13%
Aug 1993,Blue River,144%
Aug 1994,Blue River,51%
Aug 1995,Blue River,122%
Aug 1996,Blue River,159%
Aug 1997,Blue River,159%
Aug 1998,Blue River,158%
Aug 1999,Blue River,160%
Aug 2000,Blue River,130%
Aug 2001,Blue River,24%
Aug 2002,Blue River,138%
Aug 2003,Blue River,95%
Aug 2004,Blue River,141%
Aug 2005,Blue River,149%
Aug 2006,Blue River,110%
Aug 2007,Blue River,72%
Aug 2008,Blue River,145%
Aug 2009,Blue River,153%
Aug 2010,Blue River,135%
Aug 2011,Blue River,160%
Aug 2012,Blue River,159%
Aug 2013,Blue River,154%
Aug 2014,Blue River,101%
Aug 2015,Blue River,38%
Aug 1963,Bully Creek,31%
Aug 1964,Bully Creek,82%
Aug 1965,Bully Creek,229%
Aug 1966,Bully Creek,27%
Aug 1967,Bully Creek,132%
Aug 1968,Bully Creek,72%
Aug 1969,Bully Creek,106%
Aug 1970,Bully Creek,159%
Aug 1971,Bully Creek,99%
Aug 1972,Bully Creek,72%
Aug 1973,Bully Creek,67%
Aug 1974,Bully Creek,133%
Aug 1975,Bully Creek,167%
Aug 1976,Bully Creek,91%
Aug 1977,Bully Creek,0%
Aug 1978,Bully Creek,120%
Aug 1979,Bully Creek,112%
Aug 1980,Bully Creek,140%
Aug 1981,Bully Creek,134%
Aug 1982,Bully Creek,216%
Aug 1983,Bully Creek,192%
Aug 1984,Bully Creek,159%
Aug 1985,Bully Creek,91%
Aug 1986,Bully Creek,98%
Aug 1987,Bully Creek,20%
Aug 1988,Bully Creek,3%
Aug 1989,Bully Creek,128%
Aug 1990,Bully Creek,3%
Aug 1991,Bully Creek,2%
Aug 1992,Bully Creek,3%
Aug 1993,Bully Creek,181%
Aug 1994,Bully Creek,3%
Aug 1995,Bully Creek,171%
Aug 1996,Bully Creek,145%
Aug 1997,Bully Creek,145%
Aug 1998,Bully Creek,189%
Aug 1999,Bully Creek,185%
Aug 2000,Bully Creek,133%
Aug 2001,Bully Creek,74%
Aug 2002,Bully Creek,85%
Aug 2003,Bully Creek,3%
Aug 2004,Bully Creek,86%
Aug 2005,Bully Creek,154%
Aug 2006,Bully Creek,160%
Aug 2007,Bully Creek,26%
Aug 2008,Bully Creek,43%
Aug 2009,Bully Creek,33%
Aug 2010,Bully Creek,119%
Aug 2011,Bully Creek,146%
Aug 2012,Bully Creek,43%
Aug 2013,Bully Creek,3%
Aug 2014,Bully Creek,3%
Aug 2015,Bully Creek,8%
Aug 1961,Bumping Lake,34%
Aug 1962,Bumping Lake,27%
Aug 1963,Bumping Lake,46%
Aug 1964,Bumping Lake,81%
Aug 1965,Bumping Lake,77%
Aug 1966,Bumping Lake,65%
Aug 1967,Bumping Lake,88%
Aug 1968,Bumping Lake,80%
Aug 1969,Bumping Lake,87%
Aug 1970,Bumping Lake,84%
Aug 1971,Bumping Lake,153%
Aug 1972,Bumping Lake,127%
Aug 1973,Bumping Lake,24%
Aug 1974,Bumping Lake,120%
Aug 1975,Bumping Lake,122%
Aug 1976,Bumping Lake,128%
Aug 1977,Bumping Lake,87%
Aug 1978,Bumping Lake,119%
Aug 1979,Bumping Lake,24%
Aug 1980,Bumping Lake,81%
Aug 1981,Bumping Lake,97%
Aug 1982,Bumping Lake,129%
Aug 1983,Bumping Lake,126%
Aug 1984,Bumping Lake,139%
Aug 1985,Bumping Lake,126%
Aug 1986,Bumping Lake,122%
Aug 1987,Bumping Lake,99%
Aug 1988,Bumping Lake,124%
Aug 1989,Bumping Lake,114%
Aug 1990,Bumping Lake,95%
Aug 1991,Bumping Lake,90%
Aug 1992,Bumping Lake,89%
Aug 1993,Bumping Lake,78%
Aug 1994,Bumping Lake,62%
Aug 1995,Bumping Lake,74%
Aug 1996,Bumping Lake,84%
Aug 1997,Bumping Lake,104%
Aug 1998,Bumping Lake,54%
Aug 1999,Bumping Lake,108%
Aug 2000,Bumping Lake,110%
Aug 2001,Bumping Lake,63%
Aug 2002,Bumping Lake,106%
Aug 2003,Bumping Lake,85%
Aug 2004,Bumping Lake,95%
Aug 2005,Bumping Lake,80%
Aug 2006,Bumping Lake,104%
Aug 2007,Bumping Lake,107%
Aug 2008,Bumping Lake,105%
Aug 2009,Bumping Lake,111%
Aug 2010,Bumping Lake,114%
Aug 2011,Bumping Lake,142%
Aug 2012,Bumping Lake,126%
Aug 2013,Bumping Lake,105%
Aug 2014,Bumping Lake,102%
Aug 2015,Bumping Lake,94%
Aug 1961,Cle Elum,186%
Aug 1962,Cle Elum,171%
Aug 1963,Cle Elum,112%
Aug 1964,Cle Elum,248%
Aug 1965,Cle Elum,214%
Aug 1966,Cle Elum,149%
Aug 1967,Cle Elum,176%
Aug 1968,Cle Elum,151%
Aug 1969,Cle Elum,140%
Aug 1970,Cle Elum,146%
