Date,Snow Water Equivalent % of Average (1981-2010),Station Name
Aug 1995,0%,Alpine Meadows
Aug 1996,0%,Alpine Meadows
Aug 1997,0%,Alpine Meadows
Aug 1998,0%,Alpine Meadows
Aug 1999,0%,Alpine Meadows
Aug 2000,0%,Alpine Meadows
Aug 2001,0%,Alpine Meadows
Aug 2002,0%,Alpine Meadows
Aug 2003,0%,Alpine Meadows
Aug 2004,0%,Alpine Meadows
Aug 2005,0%,Alpine Meadows
Aug 2006,0%,Alpine Meadows
Aug 2007,0%,Alpine Meadows
Aug 2008,1810%,Alpine Meadows
Aug 2009,0%,Alpine Meadows
Aug 2010,0%,Alpine Meadows
Aug 2011,210%,Alpine Meadows
Aug 2012,0%,Alpine Meadows
Aug 2013,0%,Alpine Meadows
Aug 2014,0%,Alpine Meadows
Aug 1979,0%,Lone Pine
Aug 1980,,Lone Pine
Aug 1981,,Lone Pine
Aug 1982,0%,Lone Pine
Aug 1983,0%,Lone Pine
Aug 1984,0%,Lone Pine
Aug 1985,0%,Lone Pine
Aug 1986,0%,Lone Pine
Aug 1987,0%,Lone Pine
Aug 1988,0%,Lone Pine
Aug 1989,0%,Lone Pine
Aug 1990,0%,Lone Pine
Aug 1991,0%,Lone Pine
Aug 1992,0%,Lone Pine
Aug 1993,0%,Lone Pine
Aug 1994,0%,Lone Pine
Aug 1995,0%,Lone Pine
Aug 1996,0%,Lone Pine
Aug 1997,0%,Lone Pine
Aug 1998,0%,Lone Pine
Aug 1999,2913%,Lone Pine
Aug 2000,0%,Lone Pine
Aug 2001,0%,Lone Pine
Aug 2002,0%,Lone Pine
Aug 2003,0%,Lone Pine
Aug 2004,0%,Lone Pine
Aug 2005,0%,Lone Pine
Aug 2006,0%,Lone Pine
Aug 2007,0%,Lone Pine
Aug 2008,0%,Lone Pine
Aug 2009,0%,Lone Pine
Aug 2010,0%,Lone Pine
Aug 2011,0%,Lone Pine
Aug 2012,0%,Lone Pine
Aug 2013,0%,Lone Pine
Aug 2014,0%,Lone Pine
Aug 2015,0%,Lone Pine
Aug 1981,0%,Paradise
Aug 1982,,Paradise
Aug 1983,,Paradise
Aug 1984,0%,Paradise
Aug 1985,0%,Paradise
Aug 1986,0%,Paradise
Aug 1987,0%,Paradise
Aug 1988,0%,Paradise
Aug 1989,0%,Paradise
Aug 1990,0%,Paradise
Aug 1991,0%,Paradise
Aug 1992,0%,Paradise
Aug 1993,0%,Paradise
Aug 1994,0%,Paradise
Aug 1995,0%,Paradise
Aug 1996,0%,Paradise
Aug 1997,648%,Paradise
Aug 1998,0%,Paradise
Aug 1999,1472%,Paradise
Aug 2000,0%,Paradise
Aug 2001,0%,Paradise
Aug 2002,0%,Paradise
Aug 2003,0%,Paradise
Aug 2004,0%,Paradise
Aug 2005,0%,Paradise
Aug 2006,0%,Paradise
Aug 2007,0%,Paradise
Aug 2008,645%,Paradise
Aug 2009,0%,Paradise
Aug 2010,0%,Paradise
Aug 2011,1469%,Paradise
Aug 2012,0%,Paradise
Aug 2013,0%,Paradise
Aug 2014,0%,Paradise
Aug 2015,0%,Paradise
