Station Name,HUC
Applegate,171003090109
Banks (Dry Falls Dam),170200140108
Beulah                                  ,170501161305
Blue River,170900040403
Bully Creek,170501180304
Bumping Lake,170300020105
Cle Elum,170300010105
Clear Lake                              ,170703060901
Cold Springs,170701031207
Conconully Lake (Salmon Lake Dam),170200060303
Conconully Reservoir,170200060303
Cottage Grove,170900020304
Cottonwood,180200010207
Cougar,170900040307
Crane Prairie,170703010109
Crescent Lake,170703020204
Detroit,170900050304
Dexter,170900010703
Diablo Reservoir,171100050404
Dorena,170900020205
Drews,180200010104
Emigrant Lake,171003080102
Fall Creek,170900010906
Fern Ridge,170900030107
Fish Lake,171003070801
Foster,170900060402
Fourmile Lake,180102030202
Galesville,171003020603
Gerber,180102040508
Gorge Reservoir,171100050708
Green Peter,170900060307
Henry Hagg Lake                         ,170900100203
Hills Creek,170900010504
Howard Hansen,171100130203
Howard Prairie,180102060401
Hyatt Prairie,180102060405
Kachess,170300010303
Keechelus,170300010301
Lake Chelan,170200090305
Lake Owyhee                             ,170501100702
Lake Shannon,171100050707
Lookout Point,170900010703
Lost Creek,171003070300
Mayfield,170800050206
Mckay,170701030408
Merwin                                  ,170800020604
Mossyrock Dam (Riffe Lk),170800050204
Ochoco,170703050403
Phillips Lake                           ,170502030106
Prineville,170703040802
Rimrock,170300020305
Roosevelt (Grand Coulee Dam),170200011907
Ross,171100050607
Swift,170800020305
Thief Valley,170502030606
Timothy Lake,170900110302
Unity,170502020204
Upper Baker,171100050705
Upper Klamath Lake,180102030309
Wallowa Lake,170601050109
Warm Springs,170501160705
Wickiup,170703010207
Willow Creek,170701040105
Wolf Creek,170502030602
Yale,170800020405
