Station Name,Snow Water Equivalent (in),Snow Water Equivalent % of Average (1981-2010),Average Snow Water Equivalent (1981-2010) (in),HUC
Alpine Meadows,0.0,,0.0,171100100501
Aneroid Lake #2,0.0,0%,0.1,170601050101
Annie Springs,0.0,,0.0,180102030101
Arbuckle Mtn,0.0,,0.0,170702020604
Bear Grass          ,0.0,,,170900040203
Beaver Pass,0.0,,0.0,171100050305
Beaver Reservoir,0.0,,0.0,170601040301
Big Red Mountain,0.0,,0.0,171003090301
Bigelow Camp,0.0,,0.0,171003090105
Billie Creek Divide,0.0,,0.0,180102030201
Blazed Alder,0.0,,0.0,170800010102
Blewett Pass,0.0,,0.0,170200110501
Blue Mountain Spring,0.0,,0.0,170501160104
Bourne,0.0,,0.0,170502030101
Bowman Springs,0.0,,0.0,170701030401
Brown Top,0.0,,,171100050301
Buckinghorse,0.0,,,171100200501
Bumping Ridge,0.0,,0.0,170300020105
Bunchgrass Mdw,0.0,,0.0,170102160303
Burnt Mountain,0.0,,0.0,171100140103
Calamity,0.0,,,170800020603
Cascade Summit,0.0,,0.0,170900010301
Cayuse Pass,0.0,,,171100140301
Chemult Alternate,0.0,,0.0,180102010201
Clackamas Lake,0.0,,0.0,170900110301
Clear Lake,0.0,,0.0,170703060901
Cold Springs Camp,0.0,,0.0,180102030202
Corral Pass,0.0,,0.0,171100140307
Cougar Mountain,0.0,,0.0,171100130202
County Line,0.0,,0.0,170601040202
Crazyman Flat,0.0,,0.0,180102020101
Daly Lake,0.0,,0.0,170900060101
Derr.,0.0,,0.0,170703040401
Diamond Lake,0.0,,0.0,171003010204
Dungeness,0.0,,0.0,171100200301
Easy Pass,0.0,,,171100010101
Eilertson Meadows,0.0,,0.0,170502030404
Elbow Lake,0.0,,0.0,171100040401
Emigrant Springs,0.0,,0.0,170701030501
Fish Creek,0.0,0%,0.1,171200030107
Fish Lake,0.0,,0.0,170300010102
Fish Lk.,0.0,,0.0,171003070801
Fourmile Lake,0.0,0%,0.1,180102030202
Gerber Reservoir,0.0,,0.0,180102040508
Gold Axe Camp,0.0,,,170200020304
Gold Center,0.0,,0.0,170702020202
Gold Mountain       ,0.0,,,170200011703
Green Lake,0.0,,0.0,170300030101
Greenpoint,0.0,,0.0,170701050603
Grouse Camp,0.0,,,170300010401
Harts Pass,0.0,,0.0,171100050201
High Ridge,0.0,,0.0,170701030103
Hogg Pass,0.0,,0.0,170900040201
Holland Meadows,0.0,,0.0,170900020201
Howard Prairie,0.0,,,180102060401
Huckleberry Creek,0.0,,0.0,171100140307
Indian Rock,0.0,,,170701060301
Irish Taylor,0.0,,0.0,170703010106
Jump Off Joe,0.0,,0.0,170900060201
June Lake,0.0,,0.0,170800020304
King Mountain,0.0,,0.0,171003020701
Lake Creek R.S.,0.0,,0.0,170501160102
Little Meadows,0.0,,0.0,170900060301
Lone Pine,0.0,,0.0,170800020203
Lost Horse,0.0,,0.0,170300030302
Lucky Strike,0.0,,0.0,170701030606
Lyman Lake,0.0,0%,0.1,170200090203
Lynn Lake,0.0,,,171100130203
Madison Butte,0.0,,0.0,170702041101
Marion Forks,0.0,,0.0,170900050205
Marten Ridge,0.0,,,171100050704
Mckenzie,0.0,0%,0.1,170900040207
Meadows Pass,0.0,,0.0,171100120101
MF Nooksack,0.0,,0.0,171100040303
Milk Shakes,0.0,,,170701020201
Miller Woods        ,0.0,,,170900080606
Morse Lake,0.0,,0.0,170300020106
Moses Mtn           ,0.0,,0.0,170200061903
Moss Springs,0.0,,0.0,170601040702
Mount Crag,0.0,,0.0,171100180601
