,name,current_basin_snowpack,average_basin_snowpack
0,Applegate,0.0,0.0
1,Emigrant Lake,0.0,0.0
2,Fish Lake,0.0,0.0
3,Galesville,0.0,0.0
4,Lost Creek,0.0,0.0
5,Banks (Dry Falls Dam),0.0,0.0222222222222
6,Conconully Lake (Salmon Lake Dam),0.0,0.0222222222222
7,Conconully Reservoir,0.0,0.0222222222222
8,Lake Chelan,0.0,0.0222222222222
9,Roosevelt (Grand Coulee Dam),0.0,0.0222222222222
10,Beulah                                  ,0.0,0.0
11,Bully Creek,0.0,0.0
12,Lake Owyhee                             ,0.0,0.0
13,Warm Springs,0.0,0.0
14,Blue River,0.0,0.00666666666667
15,Cottage Grove,0.0,0.00666666666667
16,Cougar,0.0,0.00666666666667
17,Detroit,0.0,0.00666666666667
18,Dexter,0.0,0.00666666666667
19,Dorena,0.0,0.00666666666667
20,Fall Creek,0.0,0.00666666666667
21,Fern Ridge,0.0,0.00666666666667
22,Foster,0.0,0.00666666666667
23,Green Peter,0.0,0.00666666666667
24,Henry Hagg Lake                         ,0.0,0.00666666666667
25,Hills Creek,0.0,0.00666666666667
26,Lookout Point,0.0,0.00666666666667
27,Timothy Lake,0.0,0.00666666666667
28,Bumping Lake,0.0,0.0
29,Cle Elum,0.0,0.0
30,Kachess,0.0,0.0
31,Keechelus,0.0,0.0
32,Rimrock,0.0,0.0
33,Clear Lake                              ,0.0,0.0142857142857
34,Crane Prairie,0.0,0.0142857142857
35,Crescent Lake,0.0,0.0142857142857
36,Ochoco,0.0,0.0142857142857
37,Prineville,0.0,0.0142857142857
38,Wickiup,0.0,0.0142857142857
39,Cold Springs,0.0,0.0
40,Mckay,0.0,0.0
41,Willow Creek,0.0,0.0
42,Cottonwood,,
43,Drews,,
44,Diablo Reservoir,0.0,0.0
45,Gorge Reservoir,0.0,0.0
46,Howard Hansen,0.0,0.0
47,Lake Shannon,0.0,0.0
48,Ross,0.0,0.0
49,Upper Baker,0.0,0.0
50,Fourmile Lake,0.0,0.0166666666667
51,Gerber,0.0,0.0166666666667
52,Howard Prairie,0.0,0.0166666666667
53,Hyatt Prairie,0.0,0.0166666666667
54,Upper Klamath Lake,0.0,0.0166666666667
55,Mayfield,0.0,0.00769230769231
56,Merwin                                  ,0.0,0.00769230769231
57,Mossyrock Dam (Riffe Lk),0.0,0.00769230769231
58,Swift,0.0,0.00769230769231
59,Yale,0.0,0.00769230769231
60,Phillips Lake                           ,0.0,0.0
61,Thief Valley,0.0,0.0
62,Unity,0.0,0.0
63,Wolf Creek,0.0,0.0
64,Wallowa Lake,0.0,0.025
65,,0.0,0.0
66,,0.0,0.0
67,,0.0,0.0
68,,0.0,0.02
