date,Alpine Meadows,Lone Pine,Paradise
1979-08-23,,0%,
1980-08-23,,,
1981-08-23,,,0%
1982-08-23,,0%,
1983-08-23,,0%,
1984-08-23,,0%,0%
1985-08-23,,0%,0%
1986-08-23,,0%,0%
1987-08-23,,0%,0%
1988-08-23,,0%,0%
1989-08-23,,0%,0%
1990-08-23,,0%,0%
1991-08-23,,0%,0%
1992-08-23,,0%,0%
1993-08-23,,0%,0%
1994-08-23,,0%,0%
1995-08-23,0%,0%,0%
1996-08-23,0%,0%,0%
1997-08-23,0%,0%,648%
1998-08-23,0%,0%,0%
1999-08-23,0%,2913%,1472%
2000-08-23,0%,0%,0%
2001-08-23,0%,0%,0%
2002-08-23,0%,0%,0%
2003-08-23,0%,0%,0%
2004-08-23,0%,0%,0%
2005-08-23,0%,0%,0%
2006-08-23,0%,0%,0%
2007-08-23,0%,0%,0%
2008-08-23,1810%,0%,645%
2009-08-23,0%,0%,0%
2010-08-23,0%,0%,0%
2011-08-23,210%,0%,1469%
2012-08-23,0%,0%,0%
2013-08-23,0%,0%,0%
2014-08-23,0%,0%,0%
2015-08-23,,0%,0%
