date,temp,anomaly
189506,56.2,-1.0
189606,57.3,0.1
189706,55.6,-1.6
189806,56.4,-0.8
189906,54.6,-2.6
190006,59.1,1.9
190106,53,-4.2
190206,55.5,-1.7
190306,58.9,1.7
190406,56.4,-0.8
190506,55.5,-1.7
190606,53.7,-3.5
190706,54.9,-2.3
190806,54.8,-2.4
190906,56.9,-0.3
191006,56,-1.2
191106,56.1,-1.1
191206,56.8,-0.4
191306,56.3,-0.9
191406,55.1,-2.1
191506,55.3,-1.9
191606,54.6,-2.6
191706,54.8,-2.4
191806,62.6,5.4
191906,55.7,-1.5
192006,55.6,-1.6
192106,58.7,1.5
192206,60.2,3.0
192306,54.5,-2.7
192406,57.6,0.4
192506,57.5,0.3
192606,60.9,3.7
192706,58,0.8
192806,56,-1.2
192906,55.9,-1.3
193006,55.8,-1.4
193106,57.5,0.3
193206,59,1.8
193306,58.2,1.0
193406,57.4,0.2
193506,58.1,0.9
193606,59.4,2.2
193706,57.8,0.6
193806,58.9,1.7
193906,55.3,-1.9
194006,61.6,4.4
194106,56.1,-1.1
194206,54.7,-2.5
194306,53.6,-3.6
194406,54.8,-2.4
194506,55.6,-1.6
194606,55.9,-1.3
194706,54.9,-2.3
194806,59.3,2.1
194906,57.4,0.2
195006,56.6,-0.6
195106,57.8,0.6
195206,55.3,-1.9
195306,52.3,-4.9
195406,53.6,-3.6
195506,57.9,0.7
195606,55.4,-1.8
195706,58.9,1.7
195806,59.3,2.1
195906,58.8,1.6
196006,59.2,2.0
196106,62.6,5.4
196206,56.8,-0.4
196306,55.9,-1.3
196406,55.5,-1.7
196506,56.8,-0.4
196606,56.4,-0.8
196706,58.9,1.7
196806,58.5,1.3
196906,59.5,2.3
197006,60.7,3.5
197106,54.7,-2.5
197206,59,1.8
197306,58.5,1.3
197406,61.1,3.9
197506,55.8,-1.4
197606,54.5,-2.7
197706,61.5,4.3
197806,58.1,0.9
197906,58.4,1.2
198006,54.1,-3.1
198106,56.7,-0.5
198206,58.7,1.5
198306,55.8,-1.4
198406,54.7,-2.5
198506,59.5,2.3
198606,62.4,5.2
198706,61,3.8
198806,58.4,1.2
198906,59.6,2.4
199006,57.9,0.7
199106,53.9,-3.3
199206,61.8,4.6
199306,55.4,-1.8
199406,57.6,0.4
199506,56.3,-0.9
199606,57.8,0.6
199706,56.6,-0.6
199806,56.6,-0.6
199906,56.3,-0.9
200006,60.2,3.0
200106,56.5,-0.7
200206,59.9,2.7
200306,61.2,4.0
200406,59.5,2.3
200506,55,-2.2
200606,60.9,3.7
200706,58.6,1.4
200806,56.6,-0.6
200906,58.4,1.2
201006,55.6,-1.6
201106,54.9,-2.3
201206,55.5,-1.7
201306,59.5,2.3
201406,58,0.8
201506,65.6,8.4
