STATION	STATION_NAME	DATE	TMAX	TMIN
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150619	250	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150618	283	150
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150617	272	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150616	256	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150615	322	150
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150614	306	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150613	250	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150612	233	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150611	267	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150610	272	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150609	322	150
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150608	328	167
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150607	328	167
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150606	311	161
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150605	294	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150604	239	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150603	194	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150602	167	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150601	183	128
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150531	289	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150530	256	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150529	283	133
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150528	294	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150527	267	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150526	222	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150525	194	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150524	194	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150523	172	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150522	156	128
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150521	228	144
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150520	239	128
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150519	178	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150518	256	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150517	217	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150516	150	122
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150515	167	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150514	217	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150513	178	100
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150512	144	94
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150511	161	100
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150510	217	117
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150509	289	94
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150508	267	89
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150507	222	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150506	172	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150505	183	89
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150504	178	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150503	244	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150502	211	89
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150501	228	100
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150430	211	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150429	178	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150428	200	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150427	278	106
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150426	161	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150425	167	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150424	133	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150423	117	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150422	161	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150421	167	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150420	272	89
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150419	250	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150418	244	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150417	228	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150416	222	39
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150415	156	17
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150414	122	39
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150413	133	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150412	150	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150411	139	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150410	161	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150409	189	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150408	150	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150407	150	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150406	139	39
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150405	156	28
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150404	139	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150403	111	33
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150402	144	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150401	128	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150331	122	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150330	200	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150329	200	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150328	161	89
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150327	217	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150326	228	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150325	156	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150324	139	67
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150323	128	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150322	133	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150321	161	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150320	194	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150319	178	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150318	178	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150317	144	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150316	189	28
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150315	172	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150314	144	111
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150313	206	78
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150312	206	94
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150311	150	100
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150310	183	28
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150309	206	33
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150308	206	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150307	200	11
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150306	183	17
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150305	161	0
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150304	156	-10
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150303	133	-5
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150302	133	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150301	139	-10
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150228	139	39
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150227	139	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150226	122	83
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150225	111	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150224	150	0
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150223	156	0
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150222	133	56
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150221	156	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150220	144	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150219	144	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150218	133	50
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150217	172	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150216	161	33
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150215	178	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150214	161	61
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150213	133	22
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150212	172	28
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150211	139	44
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150210	128	72
GHCND:USW00024229	PORTLAND INTERNATIONAL AIRPORT OR US	20150209	117	78
