STATION_NAME	YEAR	Month	DAY	DATE	TMAX	C	temF
PORTLAND NWSFO OR US	2015	06	20	20150620	272	27.2	80.96
PORTLAND NWSFO OR US	2015	06	18	20150618	289	28.9	84.02
PORTLAND NWSFO OR US	2015	06	17	20150617	278	27.8	82.04
PORTLAND NWSFO OR US	2015	06	16	20150616	261	26.1	78.98
PORTLAND NWSFO OR US	2015	06	15	20150615	328	32.8	91.04
PORTLAND NWSFO OR US	2015	06	14	20150614	306	30.6	87.08
PORTLAND NWSFO OR US	2015	06	13	20150613	256	25.6	78.08
PORTLAND NWSFO OR US	2015	06	12	20150612	239	23.9	75.02
PORTLAND NWSFO OR US	2015	06	11	20150611	272	27.2	80.96
PORTLAND NWSFO OR US	2015	06	10	20150610	272	27.2	80.96
PORTLAND NWSFO OR US	2015	06	09	20150609	328	32.8	91.04
PORTLAND NWSFO OR US	2015	06	08	20150608	339	33.9	93.02
PORTLAND NWSFO OR US	2015	06	07	20150607	333	33.3	91.94
PORTLAND NWSFO OR US	2015	06	06	20150606	322	32.2	89.96
PORTLAND NWSFO OR US	2015	06	05	20150605	300	30	86
PORTLAND NWSFO OR US	2015	06	04	20150604	244	24.4	75.92
PORTLAND NWSFO OR US	2015	06	03	20150603	194	19.4	66.92
PORTLAND NWSFO OR US	2015	06	02	20150602	161	16.1	60.98
PORTLAND NWSFO OR US	2015	06	01	20150601	178	17.8	64.04
PORTLAND NWSFO OR US	2015	05	31	20150531	294	29.4	84.92
PORTLAND NWSFO OR US	2015	05	30	20150530	261	26.1	78.98
PORTLAND NWSFO OR US	2015	05	29	20150529	283	28.3	82.94
PORTLAND NWSFO OR US	2015	05	28	20150528	300	30	86
PORTLAND NWSFO OR US	2015	05	27	20150527	261	26.1	78.98
PORTLAND NWSFO OR US	2015	05	26	20150526	211	21.1	69.98
PORTLAND NWSFO OR US	2015	05	25	20150525	189	18.9	66.02
PORTLAND NWSFO OR US	2015	05	24	20150524	194	19.4	66.92
PORTLAND NWSFO OR US	2015	05	23	20150523	161	16.1	60.98
PORTLAND NWSFO OR US	2015	05	22	20150522	150	15	59
PORTLAND NWSFO OR US	2015	05	21	20150521	233	23.3	73.94
PORTLAND NWSFO OR US	2015	05	20	20150520	239	23.9	75.02
PORTLAND NWSFO OR US	2015	05	19	20150519	178	17.8	64.04
PORTLAND NWSFO OR US	2015	05	18	20150518	261	26.1	78.98
PORTLAND NWSFO OR US	2015	05	17	20150517	217	21.7	71.06
PORTLAND NWSFO OR US	2015	05	16	20150516	150	15	59
PORTLAND NWSFO OR US	2015	05	15	20150515	161	16.1	60.98
PORTLAND NWSFO OR US	2015	05	14	20150514	222	22.2	71.96
PORTLAND NWSFO OR US	2015	05	13	20150513	183	18.3	64.94
PORTLAND NWSFO OR US	2015	05	12	20150512	133	13.3	55.94
PORTLAND NWSFO OR US	2015	05	11	20150511	161	16.1	60.98
PORTLAND NWSFO OR US	2015	05	10	20150510	222	22.2	71.96
PORTLAND NWSFO OR US	2015	05	09	20150509	289	28.9	84.02
PORTLAND NWSFO OR US	2015	05	08	20150508	272	27.2	80.96
PORTLAND NWSFO OR US	2015	05	07	20150507	233	23.3	73.94
PORTLAND NWSFO OR US	2015	05	06	20150506	183	18.3	64.94
PORTLAND NWSFO OR US	2015	05	05	20150505	172	17.2	62.96
PORTLAND NWSFO OR US	2015	05	04	20150504	178	17.8	64.04
PORTLAND NWSFO OR US	2015	05	03	20150503	250	25	77
PORTLAND NWSFO OR US	2015	05	02	20150502	217	21.7	71.06
PORTLAND NWSFO OR US	2015	05	01	20150501	233	23.3	73.94
PORTLAND NWSFO OR US	2015	04	30	20150430	217	21.7	71.06
PORTLAND NWSFO OR US	2015	04	29	20150429	178	17.8	64.04
PORTLAND NWSFO OR US	2015	04	28	20150428	206	20.6	69.08
PORTLAND NWSFO OR US	2015	04	27	20150427	278	27.8	82.04
PORTLAND NWSFO OR US	2015	04	26	20150426	161	16.1	60.98
PORTLAND NWSFO OR US	2015	04	25	20150425	178	17.8	64.04
PORTLAND NWSFO OR US	2015	04	24	20150424	128	12.8	55.04
PORTLAND NWSFO OR US	2015	04	23	20150423	117	11.7	53.06
PORTLAND NWSFO OR US	2015	04	22	20150422	167	16.7	62.06
PORTLAND NWSFO OR US	2015	04	21	20150421	167	16.7	62.06
PORTLAND NWSFO OR US	2015	04	20	20150420	278	27.8	82.04
PORTLAND NWSFO OR US	2015	04	19	20150419	256	25.6	78.08
PORTLAND NWSFO OR US	2015	04	18	20150418	256	25.6	78.08
PORTLAND NWSFO OR US	2015	04	17	20150417	244	24.4	75.92
PORTLAND NWSFO OR US	2015	04	16	20150416	239	23.9	75.02
PORTLAND NWSFO OR US	2015	04	15	20150415	156	15.6	60.08
PORTLAND NWSFO OR US	2015	04	14	20150414	122	12.2	53.96
PORTLAND NWSFO OR US	2015	04	13	20150413	128	12.8	55.04
PORTLAND NWSFO OR US	2015	04	12	20150412	150	15	59
PORTLAND NWSFO OR US	2015	04	11	20150411	144	14.4	57.92
PORTLAND NWSFO OR US	2015	04	10	20150410	167	16.7	62.06
PORTLAND NWSFO OR US	2015	04	09	20150409	189	18.9	66.02
PORTLAND NWSFO OR US	2015	04	08	20150408	161	16.1	60.98
PORTLAND NWSFO OR US	2015	04	07	20150407	156	15.6	60.08
PORTLAND NWSFO OR US	2015	04	06	20150406	144	14.4	57.92
PORTLAND NWSFO OR US	2015	04	05	20150405	161	16.1	60.98
PORTLAND NWSFO OR US	2015	04	04	20150404	144	14.4	57.92
PORTLAND NWSFO OR US	2015	04	03	20150403	122	12.2	53.96
PORTLAND NWSFO OR US	2015	04	02	20150402	150	15	59
PORTLAND NWSFO OR US	2015	04	01	20150401	133	13.3	55.94
PORTLAND NWSFO OR US	2015	03	31	20150331	122	12.2	53.96
PORTLAND NWSFO OR US	2015	03	30	20150330	206	20.6	69.08
PORTLAND NWSFO OR US	2015	03	29	20150329	206	20.6	69.08
PORTLAND NWSFO OR US	2015	03	28	20150328	167	16.7	62.06
PORTLAND NWSFO OR US	2015	03	27	20150327	222	22.2	71.96
PORTLAND NWSFO OR US	2015	03	26	20150326	233	23.3	73.94
PORTLAND NWSFO OR US	2015	03	25	20150325	161	16.1	60.98
PORTLAND NWSFO OR US	2015	03	24	20150324	139	13.9	57.02
PORTLAND NWSFO OR US	2015	03	23	20150323	128	12.8	55.04
PORTLAND NWSFO OR US	2015	03	22	20150322	133	13.3	55.94
PORTLAND NWSFO OR US	2015	03	21	20150321	156	15.6	60.08
PORTLAND NWSFO OR US	2015	03	20	20150320	194	19.4	66.92
PORTLAND NWSFO OR US	2015	03	19	20150319	189	18.9	66.02
PORTLAND NWSFO OR US	2015	03	18	20150318	178	17.8	64.04
PORTLAND NWSFO OR US	2015	03	17	20150317	144	14.4	57.92
PORTLAND NWSFO OR US	2015	03	16	20150316	189	18.9	66.02
PORTLAND NWSFO OR US	2015	03	15	20150315	167	16.7	62.06
PORTLAND NWSFO OR US	2015	03	14	20150314	144	14.4	57.92
PORTLAND NWSFO OR US	2015	03	13	20150313	200	20	68
PORTLAND NWSFO OR US	2015	03	12	20150312	206	20.6	69.08
PORTLAND NWSFO OR US	2015	03	11	20150311	144	14.4	57.92
PORTLAND NWSFO OR US	2015	03	10	20150310	189	18.9	66.02
PORTLAND NWSFO OR US	2015	03	09	20150309	206	20.6	69.08
PORTLAND NWSFO OR US	2015	03	08	20150308	206	20.6	69.08
PORTLAND NWSFO OR US	2015	03	07	20150307	200	20	68
PORTLAND NWSFO OR US	2015	03	06	20150306	189	18.9	66.02
PORTLAND NWSFO OR US	2015	03	05	20150305	161	16.1	60.98
PORTLAND NWSFO OR US	2015	03	04	20150304	150	15	59
PORTLAND NWSFO OR US	2015	03	03	20150303	144	14.4	57.92
PORTLAND NWSFO OR US	2015	03	02	20150302	144	14.4	57.92
PORTLAND NWSFO OR US	2015	03	01	20150301	144	14.4	57.92
PORTLAND NWSFO OR US	2015	02	28	20150228	144	14.4	57.92
PORTLAND NWSFO OR US	2015	02	27	20150227	133	13.3	55.94
PORTLAND NWSFO OR US	2015	02	26	20150226	122	12.2	53.96
PORTLAND NWSFO OR US	2015	02	25	20150225	111	11.1	51.98
PORTLAND NWSFO OR US	2015	02	24	20150224	150	15	59
PORTLAND NWSFO OR US	2015	02	23	20150223	150	15	59
PORTLAND NWSFO OR US	2015	02	22	20150222	139	13.9	57.02
PORTLAND NWSFO OR US	2015	02	21	20150221	161	16.1	60.98
