State	Total	American Indian / Alaska Native	Asian / Pacific Islander	Hispanic	Black	White	Economically disadvantaged	Limited English proficiency	Students with disabilities
Alabama	0.800	0.860	0.890	0.740	0.739	0.839	0.718	0.440	0.769
Alaska	0.718	0.570	0.770	0.730	0.650	0.779	0.595	0.400	0.430
Arizona	0.751	0.611	0.840	0.689	0.696	0.826	0.694	0.200	0.633
Arkansas	0.849	0.780	0.810	0.820	0.781	0.878	0.803	0.810	0.804
California	0.804	0.728	0.909	0.757	0.681	0.877	0.748	0.631	0.619
Colorado	0.769	0.610	0.850	0.654	0.695	0.828	0.637	0.585	0.538
Connecticut	0.855	0.820	0.930	0.702	0.757	0.914	0.721	0.640	0.647
Delaware	0.804	0.800	0.880	0.780	0.761	0.831	0.742	0.710	0.600
District of Columbia	0.623		0.860	0.620	0.607	0.850	0.589	0.520	0.410
Florida	0.756	0.770	0.884	0.749	0.646	0.805	0.670	0.575	0.523
Georgia	0.717	0.640	0.818	0.626	0.644	0.792	0.638	0.438	0.351
Hawaii	0.824	0.620	0.838	0.770	0.750	0.790	0.782	0.570	0.610
Illinois	0.832	0.780	0.917	0.763	0.709	0.893	0.730	0.637	0.701
Indiana	0.870	0.860	0.890	0.825	0.738	0.897	0.827	0.780	0.693
Iowa	0.897	0.830	0.900	0.800	0.740	0.915	0.804	0.760	0.727
Kansas	0.857	0.770	0.890	0.799	0.760	0.881	0.766	0.750	0.778
Kentucky	0.861	0.790	0.870	0.800	0.784	0.876	0.854	0.640	0.520
Louisiana	0.735	0.750	0.850	0.730	0.659	0.802	0.677	0.480	0.367
Maine	0.864	0.720	0.950	0.810	0.750	0.869	0.769	0.730	0.700
Maryland	0.850	0.830	0.948	0.751	0.783	0.911	0.758	0.570	0.600
Massachusetts	0.850	0.730	0.902	0.668	0.738	0.901	0.736	0.635	0.678
Michigan	0.770	0.640	0.873	0.673	0.605	0.821	0.639	0.654	0.536
Minnesota	0.798	0.490	0.782	0.590	0.578	0.853	0.638	0.593	0.582
Mississippi	0.755	0.690	0.920	0.790	0.695	0.821	0.702	0.570	0.225
Missouri	0.857	0.820	0.910	0.810	0.721	0.891	0.780	0.690	0.734
Montana	0.844	0.650	0.940	0.790	0.770	0.870	0.745	0.570	0.760
Nebraska	0.885	0.720	0.770	0.786	0.770	0.922	0.809	0.600	0.710
Nevada	0.707	0.590	0.810	0.644	0.567	0.772	0.640	0.240	0.264
New Hampshire	0.873	0.840	0.860	0.770	0.820	0.878	0.757	0.700	0.710
New Jersey	0.875	0.760	0.958	0.786	0.764	0.931	0.771	0.705	0.759
New Mexico	0.703	0.643	0.860	0.679	0.690	0.770	0.647	0.654	0.601
New York	0.768	0.620	0.841	0.623	0.629	0.872	0.675	0.391	0.472
North Carolina	0.825	0.770	0.900	0.752	0.775	0.862	0.761	0.490	0.623
North Dakota	0.875	0.630	0.880	0.780	0.800	0.904	0.720	0.610	0.700
Ohio	0.822	0.680	0.890	0.689	0.634	0.870	0.696	0.670	0.692
Oklahoma	0.848	0.844	0.900	0.786	0.770	0.872	0.797	0.640	0.785
Oregon	0.687	0.520	0.810	0.608	0.570	0.710	0.604	0.491	0.372
Pennsylvania	0.855	0.740	0.910	0.707	0.726	0.897	0.765	0.670	0.750
Rhode Island	0.797	0.740	0.850	0.690	0.720	0.839	0.693	0.730	0.590
South Carolina	0.776	0.670	0.880	0.730	0.746	0.799	0.705	0.690	0.432
South Dakota	0.827	0.490	0.850	0.690	0.720	0.880	0.670	0.590	0.600
Tennessee	0.863	0.840	0.900	0.813	0.778	0.898	0.807	0.730	0.673
Texas	0.880	0.860	0.937	0.851	0.841	0.930	0.852	0.713	0.778
Utah	0.830	0.670	0.800	0.704	0.700	0.861	0.729	0.600	0.674
Vermont	0.866	0.500	0.890	0.830	0.730	0.872	0.750	0.630	0.680
Virginia	0.845		0.902	0.761	0.768	0.886	0.740	0.518	0.515
Washington	0.764	0.560	0.823	0.659	0.658	0.797	0.650	0.506	0.546
West Virginia	0.814	0.700	0.920	0.820	0.750	0.819	0.737	0.830	0.621
Wisconsin	0.880	0.760	0.900	0.743	0.661	0.924	0.766	0.620	0.687
Wyoming	0.770	0.410	0.860	0.710	0.660	0.800	0.640	0.680	0.590
