School	Eligible to test in ELA or Math	Parental Exemptions	Rate
Abernethy E.S.	253	127	0.5019762846
Metropolitan Learning Ctr K‐8	266	89	0.3345864662
Creative Science K‐8	284	90	0.3169014085
Alliance H.S. @ Meek Campus	44	13	0.2954545455
Sunnyside Environmental K‐8	404	106	0.2623762376
Alliance Combined	51	13	0.2549019608
Buckman E.S.	225	49	0.2177777778
DaVinci Arts M.S.	462	83	0.1796536797
Arleta K‐8	279	50	0.1792114695
Lewis E.S.	196	31	0.1581632653
Glencoe E.S.	240	32	0.1333333333
Irvington K‐8	334	39	0.1167664671
Vernon K‐8	206	22	0.1067961165
Opal Charter School	40	4	0.1
Chief Joseph/Ockley Green K‐8	379	35	0.09234828496
Faubion PK‐8	264	20	0.07575757576
Winterhaven K‐8	270	20	0.07407407407
Roseway Heights K‐8	428	31	0.07242990654
Sabin K‐8	278	17	0.06115107914
