Institution_Id	Institution_Name	Enrollment2010	Enrollment2011	Enrollment2012	Enrollment2013	Private2010	Private2011	Private2012	Private2013	Public2010	Public2011	Public2012	public2013	Private2010PerStudent	Private2011PerStudent	Private2012PerStudent	Private2013PerStudent	Public2010PerStudent	Public2011PerStudent	Public2012PerStudent	Public2013PerStudent	publicAverage	privateAverage
1935	Seaside SD 10	1435	1471	1559	1531	67545.95	5835	1683	#N/A	0	0	0	#N/A	47.07	3.97	1.08	#N/A	0.00	0.00	0.00	#N/A	#DIV/0!	17.37
2198	Neah-Kah-Nie SD 56	737	741	724	773	450098.35	81405.98	90025.73	84486.84	0	0	0	0	610.72	109.86	124.34	109.30	0.00	0.00	0.00	0.00	#DIV/0!	238.55
2219	Joseph SD 6	224	228	234	235	#N/A	#N/A	7011.37	#N/A	#N/A	#N/A	3346880.4	#N/A	#N/A	#N/A	29.96	#N/A	#N/A	#N/A	14302.91	#N/A	14302.91	29.96
2046	Butte Falls SD 91	161	127	146	140	24054.69	12167.2	14687.08	34952.92	1421253.4	1352662.1	2735867.07	1576799.42	149.41	95.80	100.60	249.66	8827.66	10650.88	18738.82	11262.85	12370.05	148.87
2193	Falls City SD 57	154	148	130	155	#N/A	#N/A	5940	5261.5	#N/A	#N/A	1478260.92	1597542.84	#N/A	#N/A	45.69	33.95	#N/A	#N/A	11371.24	10306.73	10838.98	39.82
2060	Paisley SD 11	97	146	220	229	20186	10000	10000	#N/A	1488112.83	1266660	1542916.75	#N/A	208.10	68.49	45.45	#N/A	15341.37	8675.75	7013.26	#N/A	10343.46	107.35
1899	Alsea SD 7J	145	134	144	153	11161	1280	13100	7330	1343375.15	1335142.41	1438147.31	1835115.82	76.97	9.55	90.97	47.91	9264.66	9963.75	9987.13	11994.22	10302.44	56.35
2113	Adrian SD 61	245	250	231	234	21023.22	3024.2	10313.3	5035	2260817.55	2274328.12	2306670.4	2344493.24	85.81	12.10	44.65	21.52	9227.83	9097.31	9985.59	10019.20	9582.48	41.02
1993	Douglas County SD 15	233	208	209	202	20317.5	4200	6732	8440	1904173.37	2048738.95	1960235.12	2146409.68	87.20	20.19	32.21	41.78	8172.42	9849.71	9379.12	10625.79	9506.76	45.35
1967	Powers SD 31	117	127	129	137	19192.16	77512.61	67904.9	50191.38	1109713.67	1169960.92	1136438.64	1367520.28	164.04	610.34	526.39	366.36	9484.73	9212.29	8809.60	9981.90	9372.13	416.78
