Institution_Id	Institution_Name	Enrollment2010	Enrollment2011	Enrollment2012	Enrollment2013	Private2010	Private2011	Private2012	Private2013	Public2010	Public2011	Public2012	public2013	Private2010PerStudent	Private2011PerStudent	Private2012PerStudent	Private2013PerStudent	Public2010PerStudent	Public2011PerStudent	Public2012PerStudent	Public2013PerStudent	publicAverage	privateAverage	Booster2010	Booster2011	Booster2012	Booster2013	BoosterAverage	boosterByStudent	enrollmentAverage
1894	Baker SD 5J	2089	2074	2164	2222	#N/A	200.00 	1021.48 	250.00 	#N/A	10098372.35 	11080717.76 	12853023.63 	#N/A	0.10 	0.47 	0.11 	#N/A	4869.03 	5120.48 	5784.44 	5257.98 	0.23 	421946.73	413052.51	379725.12	378409.41	398283.44	186.35	2137
2137	Gervais SD 1	1116	1091	1070	1061	25.00 	565.00 	1075.00 	#N/A	7102321.46 	7523677.10 	7177351.90 	#N/A	0.02 	0.52 	1.00 	#N/A	6364.09 	6896.13 	6707.81 	#N/A	6656.01 	0.51 	165247.41	163540.79	152292.05	151669.28	158187.38	145.86	1085
1994	South Umpqua SD 19	1519	1448	1459	1461	#N/A	#N/A	1356.90 	501.20 	#N/A	#N/A	7531761.04 	8435020.10 	#N/A	#N/A	0.93 	0.34 	#N/A	#N/A	5162.28 	5773.46 	5467.87 	0.64 	267764.06	236718.86	223310.28	235281.54	240768.69	163.59	1472
2187	David Douglas SD 40	10831	10706	10761	10946	#N/A	3584.00 	12115.00 	7571.73 	#N/A	64064574.62 	68367736.65 	76324857.08 	#N/A	0.33 	1.13 	0.69 	#N/A	5983.99 	6353.29 	6972.85 	6436.71 	0.72 	1609523.28	1583831.71	1537694.87	1441030.52	1543020.1	142.73	10811
2108	Ontario SD 8C	2511	2431	2459	2441	3491.86 	#N/A	2100.00 	#N/A	15697873.67 	#N/A	16317154.57 	#N/A	1.39 	#N/A	0.85 	#N/A	6251.64 	#N/A	6635.69 	#N/A	6443.66 	1.12 	62742.48	324905.69	380331.29	348977.28	279239.19	113.49	2461
2146	Woodburn SD 103	5431	5493	5668	5743	7140.43 	#N/A	895.30 	26658.11 	36315605.78 	#N/A	39184764.43 	43011831.30 	1.31 	#N/A	0.16 	4.64 	6686.73 	#N/A	6913.33 	7489.44 	7029.83 	2.04 	389873	417250.2	454825.6	430108.77	423014.39	75.76	5584
2241	Forest Grove SD 15	6190	6017	5921	5954	15398.89 	9350.79 	21030.26 	9352.07 	35553685.39 	35820246.08 	36532095.00 	39478489.32 	2.49 	1.55 	3.55 	1.57 	5743.73 	5953.17 	6169.92 	6630.58 	6124.35 	2.29 	114380.34	135807.12	117545.39	105189.42	118230.57	19.64	6021
4131	North Wasco County SD 21	3015	3050	3023	3074	21618.56 	5532.00 	9178.48 	3720.26 	14322823.15 	15307095.69 	16868925.68 	17982993.52 	7.17 	1.81 	3.04 	1.21 	4750.52 	5018.72 	5580.19 	5850.03 	5299.87 	3.31 	384799.04	298215.07	400794.73	369232.4	363260.31	119.47	3041
1928	Oregon City SD 62	8250	8158	8064	8066	62864.69 	13825.52 	56877.16 	4591.12 	34756308.81 	36953655.14 	38521575.68 	42706943.90 	7.62 	1.69 	7.05 	0.57 	4212.89 	4529.74 	4776.98 	5294.69 	4703.57 	4.23 	2300129.99	2429740.53	2366570.56		2365480.36	290.8	8135
2257	Sheridan SD 48J	1038	1055	1060	1064	4940.84 	5898.96 	6184.79 	4831.79 	6948240.00 	6390912.27 	6414700.62 	7111118.47 	4.76 	5.59 	5.83 	4.54 	6693.87 	6057.74 	6051.60 	6683.38 	6371.65 	5.18 	142256.24	98062.76	114094.6	111568.05	116495.41	110.5	1054
2055	Three Rivers/Josephine County SD	5041	4903	4919	4916	10500.00 	10975.02 	6400.00 	79997.00 	23300717.06 	23687308.00 	22732016.52 	26275528.01 	2.08 	2.24 	1.30 	16.27 	4622.24 	4831.19 	4621.27 	5344.90 	4854.90 	5.47 	1270939.35	1290960.13	1353052.06	1479490.47	1348610.5	272.74	4945
2100	Greater Albany Public SD 8J	9169	9115	9158	9329	22624.19 	86657.32 	131083.51 	25415.23 	40052880.76 	41688566.57 	42554647.75 	49908068.23 	2.47 	9.51 	14.31 	2.72 	4368.29 	4573.62 	4646.72 	5349.78 	4734.60 	7.25 	1726493.2	1841253.4	1773555.01	1966440.63	1826935.56	198.74	9193
