Br_ID,Phase,Work_Type,Lat,Long,Damage State,Description,Hwy,Hwy Name,MP,DISTRICT,STRUCNAME,Carries,Crosses,DetourLenth_mi,YEARBUILT,LENGTH_ft,ADMINAREA,DESIGNMAIN,MATERIALMAIN
09260A,2,Rehab+,42.06404,-122.6025,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,4.63,08,Hwy 1 over Hwy 273 at MP 4.63,I-5 (HWY 001),HWY 273,15.00,1965,135.81,R3,5 Prestressed Concrete,02 Stringer/Girder
09259,2,Rehab+,42.07316,-122.60583,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,5.32,08,Hwy 1 SB over Hwy 273,I-5 (HWY 001) SB,OR 273 (HWY 273),7.70,1965,234.00,R3,5 Prestressed Concrete,02 Stringer/Girder
09259A,2,Rehab+,42.07311,-122.60528,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,5.36,08,Hwy 1 NB over Hwy 273,I-5 (HWY 001) NB,OR 273 (HWY 273),7.70,1965,202.00,R3,5 Prestressed Concrete,02 Stringer/Girder
08746N,2,Retrofit,42.17391,-122.65806,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,13.29,08,Hwy 1 NB over Crowson Rd,I-5 (HWY 001) NB,CROWSON RD,15.20,1963,163.83,R3,5 Prestressed Concrete,02 Stringer/Girder
08746S,2,Rehab+,42.17373,-122.65833,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,13.29,08,Hwy 1 SB over Crowson Rd,I-5 (HWY 001) SB,CROWSON RD,15.20,1963,150.00,R3,5 Prestressed Concrete,02 Stringer/Girder
08891N,2,Retrofit,42.25901,-122.78972,DS4,Seismically Vulnerable,001,Pacific Hwy,22.42,08,"Bear Creek, Hwy 1 NB at MP 22.42",I-5 (HWY 001) NB,BEAR CR,1.00,1962,283.83,R3,5 Prestressed Concrete,02 Stringer/Girder
08891S,2,Retrofit,42.25876,-122.79,DS4,Seismically Vulnerable,001,Pacific Hwy,22.42,08,"Bear Creek, Hwy 1 SB at MP 22.42",I-5 (HWY 001) SB,BEAR CR,1.00,1962,283.83,R3,5 Prestressed Concrete,02 Stringer/Girder
08890N,2,Retrofit,42.26594,-122.79806,DS4,Seismically Vulnerable,001,Pacific Hwy,23.07,08,"Bear Creek, Hwy 1 NB at MP 23.07",I-5 (HWY 001) NB,BEAR CR,1.00,1962,283.83,R3,5 Prestressed Concrete,02 Stringer/Girder
08890S,2,Retrofit,42.26589,-122.79861,DS4,Seismically Vulnerable,001,Pacific Hwy,23.07,08,"Bear Creek, Hwy 1 SB at MP 23.07",I-5 (HWY 001) SB,BEAR CR,1.00,1962,283.83,R3,5 Prestressed Concrete,02 Stringer/Girder
08682,2,Rehab+,42.28079,-122.81444,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,24.4,08,Fern Valley Rd Conn #2 over Hwy 1,FERN VALLEY RD C#2,I-5 (HWY 001),6.50,1962,316.00,R3,2 Concrete Continuous,04 Tee Beam
08332,5,Rehab+,42.32722,-122.86833,DS3,Seismically Vulnerable,001,Pacific Hwy,28.66,08,"Medford Viaduct, Hwy 1",I-5 (HWY 001),MEDFORD VIADUCT,10.00,1962,3222.63,R3,3 Steel,02 Stringer/Girder
08851,2,Retrofit,42.34114,-122.87333,DS4,Seismically Vulnerable,001,Pacific Hwy,29.64,08,Hwy 1 over McAndrews Rd,I-5 (HWY 001),MCANDREWS RD,10.00,1961,164.83,R3,5 Prestressed Concrete,02 Stringer/Girder
08771N,2,Retrofit,42.35591,-122.87833,DS4,Seismically Vulnerable,001,Pacific Hwy,30.69,08,"Bear Creek, Hwy 1 NB at MP 30.69",I-5 (HWY 001) NB,BEAR CR,17.05,1961,206.81,R3,5 Prestressed Concrete,02 Stringer/Girder
08771S,2,Retrofit,42.35583,-122.87861,DS4,Seismically Vulnerable,001,Pacific Hwy,30.69,08,"Bear Creek, Hwy 1 SB at MP 30.69",I-5 (HWY 001) SB,BEAR CR,17.05,1961,206.18,R3,5 Prestressed Concrete,02 Stringer/Girder
0M220,2,Retrofit,42.39423,-122.925,DS2,Potentially Seismically Vulnerable,001,Pacific Hwy,34.28,08,"Griffin Creek, Hwy 1",I-5 (HWY 001),GRIFFIN CREEK,11.20,1961,24.00,R3,2 Concrete Continuous,19 Culvert
