Date,Station Name,Reservoir Storage Volume % of Average (1981-2010)
Mar 1981,Applegate,99%
Mar 1982,Applegate,144%
Mar 1983,Applegate,141%
Mar 1984,Applegate,119%
Mar 1985,Applegate,80%
Mar 1986,Applegate,126%
Mar 1987,Applegate,118%
Mar 1988,Applegate,78%
Mar 1989,Applegate,119%
Mar 1990,Applegate,83%
Mar 1991,Applegate,68%
Mar 1992,Applegate,67%
Mar 1993,Applegate,117%
Mar 1994,Applegate,68%
Mar 1995,Applegate,122%
Mar 1996,Applegate,123%
Mar 1997,Applegate,125%
Mar 1998,Applegate,107%
Mar 1999,Applegate,80%
Mar 2000,Applegate,110%
Mar 2001,Applegate,17%
Mar 2002,Applegate,101%
Mar 2003,Applegate,110%
Mar 2004,Applegate,109%
Mar 2005,Applegate,66%
Mar 2006,Applegate,111%
Mar 2007,Applegate,107%
Mar 2008,Applegate,105%
Mar 2009,Applegate,90%
Mar 2010,Applegate,90%
Mar 2011,Applegate,109%
Mar 2012,Applegate,126%
Mar 2013,Applegate,85%
Mar 2014,Applegate,109%
Mar 2015,Applegate,85%
Mar 1936,Beulah                                  ,33%
Mar 1937,Beulah                                  ,71%
Mar 1938,Beulah                                  ,122%
Mar 1939,Beulah                                  ,133%
Mar 1940,Beulah                                  ,139%
Mar 1941,Beulah                                  ,136%
Mar 1942,Beulah                                  ,131%
Mar 1943,Beulah                                  ,83%
Mar 1944,Beulah                                  ,119%
Mar 1945,Beulah                                  ,138%
Mar 1946,Beulah                                  ,125%
Mar 1947,Beulah                                  ,121%
Mar 1948,Beulah                                  ,105%
Mar 1949,Beulah                                  ,123%
Mar 1950,Beulah                                  ,78%
Mar 1951,Beulah                                  ,76%
Mar 1952,Beulah                                  ,89%
Mar 1953,Beulah                                  ,107%
Mar 1954,Beulah                                  ,89%
Mar 1955,Beulah                                  ,64%
Mar 1956,Beulah                                  ,114%
Mar 1957,Beulah                                  ,135%
Mar 1958,Beulah                                  ,132%
Mar 1959,Beulah                                  ,79%
Mar 1960,Beulah                                  ,91%
Mar 1961,Beulah                                  ,79%
Mar 1962,Beulah                                  ,69%
Mar 1963,Beulah                                  ,97%
Mar 1964,Beulah                                  ,73%
Mar 1965,Beulah                                  ,126%
Mar 1966,Beulah                                  ,88%
Mar 1967,Beulah                                  ,89%
Mar 1968,Beulah                                  ,98%
Mar 1969,Beulah                                  ,74%
Mar 1970,Beulah                                  ,127%
Mar 1971,Beulah                                  ,132%
Mar 1972,Beulah                                  ,127%
Mar 1973,Beulah                                  ,99%
Mar 1974,Beulah                                  ,135%
Mar 1975,Beulah                                  ,98%
Mar 1976,Beulah                                  ,88%
Mar 1977,Beulah                                  ,65%
Mar 1978,Beulah                                  ,113%
Mar 1979,Beulah                                  ,87%
Mar 1980,Beulah                                  ,110%
Mar 1981,Beulah                                  ,99%
Mar 1982,Beulah                                  ,134%
Mar 1983,Beulah                                  ,133%
Mar 1984,Beulah                                  ,119%
Mar 1985,Beulah                                  ,128%
Mar 1986,Beulah                                  ,138%
Mar 1987,Beulah                                  ,105%
Mar 1988,Beulah                                  ,54%
Mar 1989,Beulah                                  ,101%
Mar 1990,Beulah                                  ,83%
Mar 1991,Beulah                                  ,46%
Mar 1992,Beulah                                  ,56%
Mar 1993,Beulah                                  ,121%
Mar 1994,Beulah                                  ,100%
Mar 1995,Beulah                                  ,116%
Mar 1996,Beulah                                  ,136%
Mar 1997,Beulah                                  ,138%
Mar 1998,Beulah                                  ,131%
Mar 1999,Beulah                                  ,131%
Mar 2000,Beulah                                  ,129%
Mar 2001,Beulah                                  ,83%
Mar 2002,Beulah                                  ,71%
Mar 2003,Beulah                                  ,62%
Mar 2004,Beulah                                  ,93%
Mar 2005,Beulah                                  ,75%
Mar 2006,Beulah                                  ,115%
Mar 2007,Beulah                                  ,110%
Mar 2008,Beulah                                  ,63%
Mar 2009,Beulah                                  ,63%
Mar 2010,Beulah                                  ,70%
Mar 2011,Beulah                                  ,119%
Mar 2012,Beulah                                  ,112%
Mar 2013,Beulah                                  ,69%
Mar 2014,Beulah                                  ,75%
Mar 2015,Beulah                                  ,88%
Mar 1975,Blue River,104%
Mar 1976,Blue River,102%
Mar 1977,Blue River,77%
Mar 1978,Blue River,69%
Mar 1979,Blue River,103%
Mar 1980,Blue River,102%
Mar 1981,Blue River,109%
Mar 1982,Blue River,99%
Mar 1983,Blue River,110%
Mar 1984,Blue River,100%
Mar 1985,Blue River,103%
Mar 1986,Blue River,99%
Mar 1987,Blue River,97%
Mar 1988,Blue River,109%
Mar 1989,Blue River,102%
Mar 1990,Blue River,102%
Mar 1991,Blue River,102%
Mar 1992,Blue River,86%
Mar 1993,Blue River,102%
Mar 1994,Blue River,102%
Mar 1995,Blue River,104%
Mar 1996,Blue River,101%
Mar 1997,Blue River,100%
Mar 1998,Blue River,104%
Mar 1999,Blue River,99%
Mar 2000,Blue River,106%
Mar 2001,Blue River,76%
Mar 2002,Blue River,100%
Mar 2003,Blue River,105%
Mar 2004,Blue River,106%
Mar 2005,Blue River,86%
Mar 2006,Blue River,99%
Mar 2007,Blue River,103%
Mar 2008,Blue River,94%
Mar 2009,Blue River,98%
Mar 2010,Blue River,99%
Mar 2011,Blue River,108%
Mar 2012,Blue River,123%
Mar 2013,Blue River,113%
Mar 2014,Blue River,109%
Mar 2015,Blue River,62%
Mar 1963,Bully Creek,17%
Mar 1964,Bully Creek,43%
Mar 1965,Bully Creek,119%
Mar 1966,Bully Creek,95%
Mar 1967,Bully Creek,91%
Mar 1968,Bully Creek,101%
Mar 1969,Bully Creek,125%
Mar 1970,Bully Creek,115%
Mar 1971,Bully Creek,122%
Mar 1972,Bully Creek,108%
Mar 1973,Bully Creek,82%
Mar 1974,Bully Creek,117%
Mar 1975,Bully Creek,114%
Mar 1976,Bully Creek,94%
Mar 1977,Bully Creek,63%
Mar 1978,Bully Creek,113%
Mar 1979,Bully Creek,116%
Mar 1980,Bully Creek,111%
Mar 1981,Bully Creek,114%
Mar 1982,Bully Creek,118%
Mar 1983,Bully Creek,116%
Mar 1984,Bully Creek,100%
Mar 1985,Bully Creek,110%
Mar 1986,Bully Creek,115%
Mar 1987,Bully Creek,98%
Mar 1988,Bully Creek,55%
Mar 1989,Bully Creek,116%
Mar 1990,Bully Creek,68%
Mar 1991,Bully Creek,40%
Mar 1992,Bully Creek,58%
Mar 1993,Bully Creek,118%
Mar 1994,Bully Creek,90%
Mar 1995,Bully Creek,129%
Mar 1996,Bully Creek,115%
Mar 1997,Bully Creek,108%
Mar 1998,Bully Creek,116%
Mar 1999,Bully Creek,114%
