Date,Snow Water Equivalent % of Average (1981-2010),Station Name
Mar 1995,88%,Alpine Meadows
Mar 1996,53%,Alpine Meadows
Mar 1997,148%,Alpine Meadows
Mar 1998,110%,Alpine Meadows
Mar 1999,175%,Alpine Meadows
Mar 2000,142%,Alpine Meadows
Mar 2001,66%,Alpine Meadows
Mar 2002,150%,Alpine Meadows
Mar 2003,32%,Alpine Meadows
Mar 2004,106%,Alpine Meadows
Mar 2005,34%,Alpine Meadows
Mar 2006,135%,Alpine Meadows
Mar 2007,137%,Alpine Meadows
Mar 2008,180%,Alpine Meadows
Mar 2009,109%,Alpine Meadows
Mar 2010,45%,Alpine Meadows
Mar 2011,80%,Alpine Meadows
Mar 2012,114%,Alpine Meadows
Mar 2013,178%,Alpine Meadows
Mar 2014,99%,Alpine Meadows
Mar 2015,0%,Alpine Meadows
Mar 1983,109%,Aneroid Lake #2
Mar 1984,101%,Aneroid Lake #2
Mar 1985,106%,Aneroid Lake #2
Mar 1986,128%,Aneroid Lake #2
Mar 1987,79%,Aneroid Lake #2
Mar 1988,88%,Aneroid Lake #2
Mar 1989,101%,Aneroid Lake #2
Mar 1990,92%,Aneroid Lake #2
Mar 1991,76%,Aneroid Lake #2
Mar 1992,79%,Aneroid Lake #2
Mar 1993,110%,Aneroid Lake #2
Mar 1994,106%,Aneroid Lake #2
Mar 1995,119%,Aneroid Lake #2
Mar 1996,113%,Aneroid Lake #2
Mar 1997,187%,Aneroid Lake #2
Mar 1998,109%,Aneroid Lake #2
Mar 1999,161%,Aneroid Lake #2
Mar 2000,117%,Aneroid Lake #2
Mar 2001,62%,Aneroid Lake #2
Mar 2002,104%,Aneroid Lake #2
Mar 2003,74%,Aneroid Lake #2
Mar 2004,94%,Aneroid Lake #2
Mar 2005,47%,Aneroid Lake #2
Mar 2006,111%,Aneroid Lake #2
Mar 2007,68%,Aneroid Lake #2
Mar 2008,119%,Aneroid Lake #2
Mar 2009,63%,Aneroid Lake #2
