date,Alpine Meadows,Aneroid Lake #2,Annie Springs,Arbuckle Mtn,Beaver Pass,Beaver Reservoir,Big Red Mountain,Bigelow Camp,Billie Creek Divide,Blazed Alder,Blewett Pass,Blue Mountain Spring,Bourne,Bowman Springs,Bumping Ridge,Bunchgrass Mdw,Cascade Summit,Chemult Alternate,Clackamas Lake,Clear Lake,Cold Springs Camp,Corral Pass,Cougar Mountain,Crazyman Flat,Daly Lake,Derr.,Diamond Lake,Dungeness,Eilertson Meadows,Elbow Lake,Fish Creek,Fish Lake,Fish Lk.,Fourmile Lake,Gold Center,Green Lake,Greenpoint,Harts Pass,High Ridge,Holland Meadows,Irish Taylor,Jump Off Joe,June Lake,Lake Creek R.S.,Little Meadows,Lone Pine,Lost Horse,Lucky Strike,Lyman Lake,MF Nooksack,Madison Butte,Mckenzie,Meadows Pass,Morse Lake,Moses Mtn           ,Moss Springs,Mount Crag,Mt Hood Test Site,Mt. Howard,Mud Ridge,New Crescent Lake,North Fork,Ochoco Meadows,Olallie Meadows,Paradise,Park Creek Ridge,Peavine Ridge,Pigtail Peak,Pope Ridge,Potato Hill,Quartz Peak,Rainy Pass,Red Hill,Rex River,Roaring River,Salmon Meadows,Salt Creek Falls,Santiam Jct.,Sasse Ridge,Schneider Meadows,Sentinel Butte,Sevenmile Marsh,Sheep Canyon,Silver Creek,Silvies             ,Skookum Creek,Snow Mountain,Spencer Meadow,Spirit Lake,Spruce Springs,Stampede Pass,Starr Ridge,Stevens Pass        ,Summer Rim,Summit Lake,Surprise Lakes,Swamp Creek,Swift Creek,Taylor Butte,Taylor Green,Three Creeks Meadow,Thunder Basin,Tinkham Creek,Tipton,Touchet,Trough,Upper Wheeler,Waterhole,Wells Creek,White Pass E.S.,Wolf Creek
11/1/78,,,,0%,,,,,0%,,,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,,0%,,,,,0%,,0%,0%,,0%,,0%,,0%,,,,,,0%,,,,,,0%,,0%,,,,64%,,,,,,,113%,,,,,300%,,,,,,,,,0%,,,,,,,0%,46%,,,,0%,,,,,,,200%,,,,,0%
11/1/79,,,,300%,,,,,0%,,,0%,0%,0%,,,,,,,,,,,,,,,,,443%,,,,,,0%,,0%,,289%,0%,,0%,,,,300%,119%,,,,,,,,,,,0%,,0%,,,,0%,,,,,,,0%,,,,,0%,,,,,,,0%,,0%,,,,,,,0%,,36%,,,0%,0%,,,,,,0%,,,,,67%
11/1/80,,,,0%,,0%,0%,400%,0%,,,0%,0%,0%,0%,,0%,0%,0%,0%,,,,,0%,0%,0%,,0%,,0%,,,0%,0%,,0%,,200%,,0%,0%,,0%,0%,,,0%,,,0%,,,,,0%,,0%,90%,0%,0%,0%,0%,,17%,21%,,,,,,,0%,,0%,,0%,0%,,0%,,0%,,0%,0%,,150%,,,,,0%,0%,0%,,0%,,,0%,0%,0%,,,0%,0%,133%,,,,,0%
11/1/81,,,,200%,,0%,225%,500%,0%,150%,200%,0%,150%,0%,,36%,0%,0%,0%,0%,100%,67%,300%,,233%,0%,,,300%,,0%,,0%,217%,0%,,0%,,125%,50%,122%,300%,,100%,233%,67%,,0%,,,0%,118%,,29%,,0%,,37%,250%,0%,0%,0%,0%,,,0%,0%,0%,0%,,,,38%,,160%,567%,33%,150%,,0%,,250%,,0%,50%,,0%,,,,,0%,0%,140%,115%,0%,,,0%,50%,0%,,,0%,0%,133%,350%,,,167%,200%
11/1/82,,0%,,667%,,0%,0%,0%,0%,0%,200%,500%,500%,1000%,,,43%,0%,0%,0%,0%,158%,0%,,33%,0%,900%,,600%,,486%,,0%,350%,800%,313%,300%,100%,400%,25%,56%,0%,,1100%,0%,500%,,1100%,,,1300%,227%,,,,117%,,21%,0%,33%,0%,0%,800%,82%,,21%,0%,206%,0%,,,43%,225%,,100%,,0%,0%,,360%,,0%,,200%,325%,,650%,0%,,,71%,1100%,0%,0%,77%,255%,,,0%,400%,225%,,,950%,86%,0%,0%,,,333%,667%
11/1/83,,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,0%,0%,0%,,333%,0%,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,,0%,65%,,0%,0%,,29%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,29%,0%,,60%,0%,0%,0%,,,,0%,0%,0%,0%,,0%,0%,,,0%,0%,0%,0%,38%,0%,,,0%,0%,0%,,,0%,0%,0%,0%,,,133%,0%
11/1/84,,242%,,433%,,700%,275%,0%,1050%,1133%,367%,200%,0%,800%,375%,271%,429%,200%,1600%,1300%,0%,175%,1050%,,1267%,650%,0%,,500%,,443%,250%,900%,600%,0%,163%,1150%,186%,625%,675%,544%,1050%,1100%,500%,1133%,533%,,0%,184%,,0%,509%,,29%,,650%,,600%,330%,1133%,0%,3200%,200%,455%,344%,407%,800%,347%,220%,460%,,171%,1113%,,580%,0%,833%,1350%,363%,220%,,525%,620%,0%,425%,,550%,,1450%,,400%,0%,313%,220%,292%,427%,,,0%,0%,525%,,,200%,414%,0%,350%,,,433%,500%
11/1/85,,217%,,567%,,0%,150%,300%,0%,33%,667%,0%,0%,0%,0%,136%,129%,0%,300%,500%,150%,275%,150%,,0%,0%,0%,,0%,,0%,0%,0%,167%,0%,0%,0%,355%,0%,75%,78%,0%,300%,0%,167%,267%,,0%,226%,,0%,155%,,193%,,117%,,200%,310%,0%,0%,0%,0%,282%,261%,486%,0%,182%,540%,120%,,486%,100%,,0%,367%,0%,0%,238%,380%,,0%,160%,0%,0%,,0%,0%,100%,,300%,0%,538%,0%,138%,100%,,,0%,300%,0%,,,0%,0%,0%,0%,,,0%,0%
11/1/86,,217%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,21%,0%,0%,0%,0%,250%,0%,0%,,0%,0%,0%,,0%,,100%,0%,0%,217%,0%,0%,0%,41%,0%,0%,122%,0%,0%,0%,0%,0%,,0%,0%,,0%,9%,,0%,,0%,,0%,40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,0%,0%,,125%,0%,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,46%,0%,,,0%,0%,0%,,,0%,71%,0%,0%,,,0%,0%
11/1/87,,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,,0%,,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,,0%,0%,0%,,,0%,0%,0%,0%,,,0%,0%
