Year	Wallowa	Harney	Yakima
1992	0.467	-0.008	-0.115
1993	0.241	-0.020	0.167
1994	0.052	0.014	0.038
1995	0.049	0.114	0.009
1996	-0.014	-0.032	0.026
1997	0.007	0.038	0.005
1998	0.035	0.522	0.001
1999	0.029	0.105	0.041
2000	0.055	0.040	0.025
2001	0.030	0.012	0.018
2002	0.017	0.025	0.028
2003	0.015	0.000	-0.010
2004	0.005	0.015	0.010
2005	0.004	-0.052	0.008
2006	0.187	0.136	0.043
2007	-0.064	-0.137	0.023
2008	-0.012	-0.142	-0.004
2009	0.003	-0.071	0.001
2010	-0.023	-0.013
2011	-0.019	0.028
2012	0.020	0.077
2013	-0.040	-0.038
2014	0.057	0.029
