date	coal
01/01/13	82.71
02/01/13	77.59
03/01/13	84.57
04/01/13	78.91
05/01/13	83.27
06/01/13	81.03
07/01/13	84.52
08/01/13	90.20
09/01/13	82.88
10/01/13	80.60
11/01/13	80.58
12/01/13	77.99
01/01/14	82.96
02/01/14	75.29
03/01/14	86.93
04/01/14	82.98
05/01/14	83.79
06/01/14	79.06
07/01/14	84.43
08/01/14	87.33
09/01/14	83.56
10/01/14	85.38
11/01/14	81.68
12/01/14	86.26
01/01/15	86.55
02/01/15	72.21
03/01/15	81.43
04/01/15	74.34
05/01/15	69.85
06/01/15	66.47
07/01/15	74.99
08/01/15	81.01
09/01/15	76.35
10/01/15	75.45
11/01/15	70.72
12/01/15	73.27
01/01/16	73.84
02/01/16	71.79
03/01/16	74.69
04/01/16	70.66
05/01/16	68.32
06/01/16	71.60
07/01/16	73.19
08/01/16	76.47
09/01/16	72.49
10/01/16	75.81
11/01/16	70.66
12/01/16	73.91
