year	harvest
1962	1104042000
1963	1365628000
1964	1637656000
1965	1239566000
1966	1243514000
1967	1092304000
1968	1470290000
1969	1206019000
1970	1036966000
1971	1340130000
1972	1533039000
1973	1500807000
1974	1025488000
1975	626116000
1976	1081916000
1977	1020595000
1978	837468000
1979	955832000
1980	797271000
1981	677020000
1982	312105000
1983	788781000
1984	919545000
1985	891330000
1986	1041557000
1987	1115126000
1988	1438615000
1989	1025814000
1990	704055000
1991	486054000
1992	483089000
1993	361270000
1994	91600000
1995	139010000
1996	288821000
1997	136268000
1998	121873000
1999	149929000
2000	82990000
2001	38074000
2002	55136000
2003	78348000
2004	95968000
2005	121443000
2006	130515000
2007	140685000
2008	116715000
2009	147007000
2010	132857000
2011	164953500
2012	148215700
2013	165116000
2014	208826000
2015	193275000
