year	harvest
1900	2.629
1901	2.678
1902	2.762
1903	2.846
1904	3.564
1905	5.202
1906	5.806333333
1907	5.347666667
1908	4.583666667
1909	5.680333333
1910	6.026333333
1911	5.999
1912	6.039333333
1913	6.536
1914	5.753333333
1915	5.574666667
1916	6.564333333
1917	6.776333333
1918	7.192666667
1919	7.828333333
1920	8.163333333
1921	6.619333333
1922	8.839
1923	10.23
1924	10.08833333
1925	10.819
1926	11.36766667
1927	11.20466667
1928	11.401
1929	11.172
1930	8.79
1931	6.173666667
1932	4.236333333
1933	5.203
1934	5.763333333
1935	6.775666667
1936	8.588
1937	7.899
1938	7.784666667
1939	8.898666667
1940	10.25666667
1941	11.45733333
1942	11.84933333
1943	11.68966667
1944	11.357
1945	10.02366667
1946	10.78166667
1947	11.80366667
1948	11.94133333
1949	11.75886133
1950	12.46946367
1951	13.66523633
1952	13.26410733
1953	13.51781433
1954	13.11822733
1955	13.96793333
1956	13.90543533
1957	12.24966767
1958	11.95133767
1959	13.21381
1960	12.973788
1961	12.535728
1962	13.248344
1963	14.29237767
1964	15.52408567
1965	15.72567333
1966	14.925697
1967	14.902974
1968	16.052368
1969	15.96184833
1970	15.17953867
1971	15.329949
1972	16.420166
1973	16.927951
1974	15.24185633
1975	14.14493
