precinct	yes	no	over	under	leading
2701	258	53	0	21	205
2702	242	72	0	36	170
3101	334	132	0	34	202
3102	465	159	0	77	306
3103	190	61	0	29	129
3301	1604	142	0	70	1462
3302	1424	196	0	95	1228
3303	1017	322	0	93	695
3304	170	37	0	24	133
3501	296	81	0	25	215
3502	1728	381	1	112	1347
3601	638	159	0	61	479
3602	1074	65	1	74	1009
3603	639	37	0	46	602
3604	1733	284	0	114	1449
3605	962	205	0	81	757
3606	2109	320	0	132	1789
3607	986	143	0	56	843
3608	1252	190	0	79	1062
3609	245	40	0	22	205
3610	1693	286	0	99	1407
3611	1894	317	0	135	1577
3612	1773	138	0	99	1635
3801	1533	358	2	96	1175
3802	1226	241	0	70	985
3803	1436	188	0	84	1248
3804	1116	220	0	47	896
3805	688	130	0	46	558
3806	500	106	0	57	394
3807	302	98	0	32	204
3808	34	10	0	0	24
4101	1472	190	0	84	1282
4102	1400	282	0	75	1118
4103	1636	322	0	99	1314
4104	1810	199	0	103	1611
4201	1384	108	1	61	1276
4203	1195	67	1	53	1128
4204	1800	144	1	66	1656
4205	1959	185	0	70	1774
4206	1635	145	0	72	1490
4207	1673	106	0	69	1567
4208	1552	157	1	65	1395
4209	1453	163	0	58	1290
4210	1382	219	0	68	1163
4211	1622	256	0	87	1366
4301	1417	180	0	67	1237
4302	1369	119	0	80	1250
4303	1360	104	0	77	1256
4304	1382	136	0	84	1246
4305	1567	254	1	66	1313
4306	1563	157	0	89	1406
4307	1412	220	0	95	1192
4308	2035	195	1	117	1840
4310	1574	129	0	99	1445
4311	1308	103	0	56	1205
4401	1001	193	0	68	808
4402	1298	226	0	75	1072
4403	1247	206	0	70	1041
4404	1115	208	3	78	907
4405	1369	213	0	76	1156
4406	1399	258	0	85	1141
4407	1046	151	2	56	895
4408	1246	256	0	89	990
4409	451	102	0	22	349
4501	2042	297	0	95	1745
4502	1519	239	0	64	1280
4503	1863	182	0	80	1681
4504	2243	301	0	106	1942
4505	988	212	0	61	776
4506	852	218	0	77	634
4507	1620	190	0	100	1430
4508	1150	167	0	55	983
4509	613	186	0	69	427
4510	637	211	0	65	426
4511	563	127	0	40	436
4512	165	33	0	19	132
4601	1702	227	2	100	1475
4602	1766	292	0	76	1474
4603	2118	296	0	108	1822
4604	979	208	0	48	771
4605	1469	304	2	106	1165
4606	1166	238	0	63	928
4607	970	217	0	83	753
4608	533	130	0	39	403
4609	1439	251	1	91	1188
4701	739	222	0	83	517
4702	188	55	0	18	133
4703	709	202	0	80	507
4704	1186	323	0	109	863
4705	1239	279	0	88	960
4706	675	221	1	63	454
4707	457	131	0	64	326
4708	889	258	0	68	631
4709	428	148	0	38	280
4710	940	318	0	85	622
4801	327	123	0	35	204
4802	877	214	0	52	663
4803	469	129	0	33	340
4804	277	98	0	21	179
4805	181	44	0	19	137
4806	416	149	0	41	267
4807	572	159	0	36	413
4901	6	5	0	4	1
4902	5	7	0	1	-2
4903	762	230	0	123	532
4904	610	195	0	94	415
4905	708	307	1	116	401
4906	215	59	0	36	156
4907	77	19	0	11	58
4908	432	132	0	30	300
4909	791	198	0	58	593
4910	665	187	0	41	478
4911	789	192	0	48	597
5001	595	158	0	44	437
5002	766	254	0	52	512
5003	882	231	0	51	651
5004	765	279	0	41	486
5005	423	108	0	18	315
5006	697	191	0	60	506
5007	647	202	0	35	445
5008	669	251	0	50	418
5009	171	54	0	21	117
5101	170	32	0	13	138
5102	954	329	0	88	625
5103	549	182	0	43	367
5104	756	270	0	80	486
5105	74	43	0	8	31
5106	365	71	0	62	294
5107	114	56	0	21	58
5202	576	215	0	76	361
5203	344	178	0	73	166
5204	578	208	0	23	370
