RAILROAD,INCDTNO,HAZMAT,RRCLASS,SHORT_CAUSE,TYPE,ACCDMG
UP,0216SL004,,1,E,11,300000.0
UP,0216SL001,,1,M,1,33360.0
UP,0216PR008,,1,T,1,74644.0
UP,0216PR013,,1,H,1,159714.0
NS,120105,,1,H,1,71464.0
CSX,000159124,,1,E,1,206767.0
CP,1000368739,,1,M,7,459715.0
BNSF,TC0316105,Yes,1,S,1,109032.0
CSX,000155702,,1,M,1,133743.0
CSX,000156554,,1,T,1,20983.0
BNSF,NE0116111,,1,E,1,252750.0
BNSF,TC0216112,,1,H,12,24589.0
UP,0216ST002,,1,E,1,39800.0
CSX,000157545,,1,E,1,27955.0
CSX,000156361,,1,M,12,16331.0
BNSF,CA0116121,,1,M,11,48925.0
UP,0316RS003,,1,M,7,34667.0
UP,0316RS033,,1,M,7,26238.0
NS,119315,,1,H,5,31000.0
BNSF,TX0316102,,1,T,1,37400.0
BNSF,PR0316103,,1,H,5,10800.0
BNSF,PR0316103,,1,H,5,10800.0
BNSF,TX0416104,,1,E,1,1000.0
NS,118784,,1,T,1,446339.0
UP,0116LK020,,1,M,12,42580.0
UP,0116LK020,,1,M,12,42580.0
UP,0416CB003,,1,E,11,86237.0
UP,0216LK008,,1,S,1,26504.0
UP,0316LK012,Yes,1,S,5,12622.0
UP,0316LK012,,1,S,5,12622.0
UP,0316LK012,Yes,1,S,5,12622.0
UP,0316LK027,,1,M,9,84534.0
UP,0316TC004,,1,T,1,32694.0
UP,0316TC007,,1,E,1,22273.0
UP,0116LK015,,1,T,1,18597.0
UP,0416LK006,Yes,1,M,9,15344.0
UP,0316LK016,,1,E,11,74276.0
UP,0416LK022,,1,M,7,12120.0
UP,0316TC011,Yes,1,H,1,18304.0
UP,0316TC009,Yes,1,T,1,55463.0
UP,0416WH005,,1,E,1,237426.0
CSX,000156961,,1,M,12,589318.0
KCS,16031601,,1,E,11,70000.0
BNSF,SW0416106,,1,H,1,22700.0
UP,0316ST007,,1,E,11,39693.0
BNSF,SW0116109,,1,M,11,110657.0
BNSF,SW0316102,,1,H,12,22000.0
UP,0116ST014,,1,M,11,93774.0
BNSF,SW0116106,,1,H,1,18623.0
BNSF,SW0116103,,1,H,4,82019.0
BNSF,SW0116103,,1,H,4,82019.0
UP,0316KC012,,1,T,1,32582.0
UP,0216KC003,Yes,1,T,1,121854.0
NS,119221,,1,H,1,110798.0
NS,119221,Yes,1,H,1,110798.0
CSX,000157544,,1,T,1,203335.0
CSX,000157313,,1,H,4,14515.0
CSX,000157313,,1,H,4,14515.0
CSX,000157044,,1,H,12,101621.0
CSX,000158757,,1,M,12,60000.0
NS,119831,,1,H,12,32399.0
NS,120068,,1,H,1,40300.0
NS,120068,,1,H,1,40300.0
NS,120012,,1,H,1,20000.0
NS,120161,,1,H,4,30929.0
NS,120161,,1,H,4,30929.0
UP,0416TC008,,1,H,1,34483.0
BNSF,TC0416103,,1,M,1,24589.0
UP,0116CB011,,1,E,1,87366.0
BNSF,TC0116113,Yes,1,H,1,33366.0
UP,0216CB012,,1,T,1,86302.0
UP,0216CB012,,1,T,1,86302.0
UP,0216CB014,,1,T,1,120177.0
UP,0216CB014,,1,T,1,120177.0
UP,0316TC003,,1,M,1,11304.0
BNSF,TC0416104,,1,H,1,45337.0
BNSF,TC0416109,,1,M,1,11679.0
NS,120159,,1,H,1,28500.0
UP,0316CB007,,1,T,1,270285.0
BNSF,NE0116113,,1,E,1,13626.0
BNSF,SF0316119,,1,T,1,306007.0
UP,0416FW003,,1,T,1,13313.0
UP,0316WH005,,1,M,1,16558.0
UP,0116CB005,,1,E,11,20530.0
UP,0316TC003,,1,M,1,11304.0
NS,118869,,1,M,1,19608.0
BNSF,SF0416108,Yes,1,H,12,12918.0
NS,119566,Yes,1,T,1,866088.0
CSX,000156127,,1,H,4,24814.0
CSX,000156127,,1,H,4,24814.0
CSX,000158299,Yes,1,E,1,50226.0
BNSF,CH0216114,,1,S,1,11841.0
NS,118766,,1,T,1,33900.0
CSX,000155798,,1,H,1,36039.0
CSX,000158094,,1,E,1,35119.0
CSX,000158094,,1,E,1,35119.0
BNSF,MT0116102,Yes,1,T,1,332812.0
UP,0316PR021,,1,T,1,52908.0
UP,0316SL001,,1,M,1,87619.0
UP,0316SL003,,1,T,1,13387.0
NS,119604,,1,T,1,23080.0
BNSF,CH0416200,,1,M,7,18512.0
BNSF,CH0416102,,1,E,1,46800.0
BNSF,CH0416103,,1,H,1,94375.0
BNSF,CH0416107,,1,E,1,25126.0
BNSF,CH0216115,,1,H,13,35000.0
UP,0216PR022,,1,H,13,35000.0
UP,0416PR004,,1,H,1,450853.0
NS,120306,,1,H,1,148000.0
CSX,000157771,,1,H,1,31715.0
CSX,000158521,,1,H,12,17150.0
CSX,000158521,,1,H,12,17150.0
CSX,000158236,,1,T,1,13387.0
CSX,000158292,,1,E,12,35188.0
CSX,000158292,,1,E,12,35188.0
CSX,000157806,,1,H,12,17738.0
CSX,000157806,,1,H,12,17738.0
UP,0216SL012,,1,E,11,34111.0
UP,0316PR007,,1,T,1,52814.0
UP,0316PR022,,1,H,12,43369.0
UP,0116PR008,,1,E,1,10953.0
BNSF,CH0216102,,1,T,1,72000.0
BNSF,CH0216103,,1,T,1,3200.0
BNSF,CH0216109,,1,H,1,12200.0
BNSF,CH0116108,,1,M,1,18759.0
CSX,000156889,Yes,1,H,1,44546.0
UP,0116SL001,,1,E,11,15000.0
NS,119959,,1,T,1,1230189.0
BNSF,CH0116105,,1,H,3,81000.0
BNSF,CH0116113,,1,E,1,573573.0
CSX,000158689,,1,M,12,21785.0
CSX,000158689,,1,M,12,21785.0
CSX,000156961,,1,M,12,589318.0
CSX,000157178,Yes,1,M,1,68086.0
BNSF,MT0316102,,1,H,1,17933.0
BNSF,CA0316203,,1,M,7,25257.0
BNSF,CA0416200,,1,M,7,17661.0
BNSF,CA0416201,,1,M,7,18000.0
BNSF,SF0116102,,1,H,13,20000.0
UP,0316RS009,,1,T,1,11000.0
UP,0316RS011,,1,M,9,71959.0
UP,0316RS021,,1,H,12,16392.0
UP,0216PR017,,1,M,7,61000.0
CSX,000157985,,1,E,1,12700.0
CSX,000157735,,1,M,7,29819.0
CSX,000157775,,1,M,12,37637.0
BNSF,PR0216109,,1,H,1,13450.0
BNSF,PR0316111,,1,H,9,23500.0
NS,119933,,1,T,1,218500.0
NS,120085,,1,E,1,80190.0
NS,120052,,1,M,1,19350.0
UP,0316DV004,,1,T,1,124776.0
BNSF,SF0116109,,1,S,1,10636.0
BNSF,TC0416112,,1,E,1,227225.0
UP,0216WH009,,1,E,11,26246.0
BNSF,MT0116101,,1,H,12,26694.0
UP,0216DV004,,1,T,1,187951.0
UP,0216DV014,,1,H,1,83822.0
UP,0216DV019,,1,H,1,67794.0
NS,119990,,1,H,1,20400.0
CSX,000156252,,1,M,4,124300.0
CSX,000156252,,1,M,4,124300.0
BNSF,KS0316103,,1,M,1,3147355.0
BNSF,KS0316107,,1,H,1,184876.0
UP,0116WH001,,1,T,1,687892.0
UP,0116KC003,,1,M,7,70000.0
NS,119213,,1,T,1,17250.0
UP,0316PD003,,1,H,1,37533.0
UP,0316PD007,,1,H,12,22934.0
UP,0316PD007,,1,H,12,22934.0
CSX,000156090,,1,T,1,214245.0
CSX,000156811,,1,H,4,15727.0
CSX,000156811,,1,H,4,15727.0
CSX,000158214,,1,T,1,98751.0
CSX,000158214,,1,T,1,98751.0
CSX,000156726,,1,M,12,23000.0
CSX,000156748,,1,T,1,37003.0
CSX,000155865,,1,H,1,186198.0
NS,119302,Yes,1,T,1,195704.0
CSX,000155694,,1,M,12,13639.0
NS,118852,,1,H,4,11340.0
NS,118852,,1,H,4,11340.0
KCS,16032901,,1,T,1,15800.0
KCS,16032803,,1,M,7,12491.0
KCS,16031901,,1,H,12,166335.0
KCS,16031901,Yes,1,H,12,166335.0
KCS,16031901,,1,H,12,166335.0
UP,0316LV013,,1,M,7,12506.0
UP,0216LK005,,1,M,1,115033.0
UP,0316LK030,,1,T,1,39316.0
BNSF,SW0116101,,1,H,1,743812.0
UP,0216NP004,Yes,1,M,13,15772.0
UP,0116NP010,,1,S,1,224922.0
UP,0216CB017,,1,M,1,76247.0
UP,0216NP012,,1,M,1,74681.0
UP,0216NP016,,1,M,1,156813.0
NS,119402,,1,H,1,236463.0
NS,119402,,1,H,1,236463.0
BNSF,SW0216107,,1,H,1,18000.0
CSX,000157271,,1,H,1,157500.0
UP,0216LK013,,1,T,1,243323.0
BNSF,SW0316103,,1,T,1,78997.0
CSX,000158958,Yes,1,E,1,16089.0
CSX,000159253,,1,M,9,10703.0
CSX,000156963,Yes,1,T,1,245720.0
CSX,000158614,,1,M,12,18428.0
CSX,000158614,,1,M,12,18428.0
CSX,000158357,,1,T,1,27398.0
CSX,000158293,,1,T,1,20126.0
CSX,000157861,,1,H,12,18000.0
