incident,product,year,railroad,product_name,damages,gallons
E-2005090302,UN3264,2005,CHEMTRADE CHEMICALS US LLC,CORROSIVE LIQUID  ACIDIC  INORGANIC  N.O.S.,9192,5200.0
E-2005100221,UN2187,2005,BOC GASES,CARBON DIOXIDE  REFRIGERATED LIQUID,1368,5250.0
E-2006010126,UN1301,2005,MILLENNIUM PETROCHEMICALS,VINYL ACETATE  STABILIZED,26500,4125.0
E-2007050172,UN1824,2007,CSXT,SODIUM HYDROXIDE  SOLUTION,3507,3109.0
E-2007080067,UN2187,2007,THE INDIANA & OHIO RAIL CORP,CARBON DIOXIDE  REFRIGERATED LIQUID,5000,20050.0
E-2007110264,UN1265,2007,SOUTH HAMPTON RESOURCES  INC.,PENTANES,9387,1129.0
E-2008110122,UN1778,2008,CITY OF LOS ANGELES,FLUOROSILICIC ACID,65000,2762.0
E-2009080067,UN1824,2009,CSXT,CAUSTIC SODA  (ETC.,539958,10341.0
E-2010040346,UN1294,2009,INTERCONTINENTAL TERMINALS COMPANY LLC,TOLUENE,80000,1124.375
E-2010090296,UN1814,2010,NUSTAR TERMINALS OPERATIONS PARTNERSHIP L..P.,POTASSIUM HYDROXIDE  SOLUTION,100500,1169.0
E-2010120111,UN2693,2010,UNIVAR USA INC.,MAGNESIUM BISULFITE SOLUTION,0,8000.0
E-2011050340,UN2582,2011,BHS MARKETING LLC,FERRIC CHLORIDE  SOLUTION,56790,2170.875
E-2011090380,UN1267,2011,NUSTAR ENERGY L.P.,PETROLEUM CRUDE OIL,85000,3570.0
E-2012020039,UN1267,2012,TEXAS INTERNATIONAL TERMINALS,CRUDE OIL  PETROLEUM,156000,1680.0
E-2012050354,UN1951,2012,UNION PACIFIC RAILROAD COMPANY INC,ARGON  REFRIGERATED LIQUID (CRYOGENIC LIQUID),35000,6500.0
E-2012070128,UN3257,2012,UNION RAILROAD COMPANY (INC),ELEVATED TEMPERATURE LIQUID  N.O.S.  AT OR ABOVE 100 C AND BELOW ITS FLASH POINT (INCLUDING MOLTEN METALS  MOLTEN SALTS  ETC.),9500,6600.0
E-2012080443,UN1805,2012,PCS NITROGEN FERTILIZER OPERATIONS  INC.,PHOSPHORIC ACID SOLUTION,4400,5499.25
E-2013010339,UN1075,2012,SUBURBAN PROPANE PARTNERS  L.P.,LIQUEFIED PETROLEUM GAS,0,1560.0
E-2013120116,UN1267,2013,ALABAMA & GULF COAST RAILWAY LLC,PETROLEUM CRUDE OIL,130000000,11843520.0
E-2014060141,UN2312,2014,CSX CORPORATION,PHENOL  MOLTEN,15000,1666.0
E-2015030143,NA1993,2015,MONTANA RAIL LINK  INC.,DIESEL FUEL,15000,2000.0
E-2015080524,UN2014,2015,TRANSFLO-PHILADELPHIA C/O ARROW MATERIAL SERVICES,HYDROGEN  PEROXIDE  AQUEOUS SOLUTIONS WITH MORE THAN 40 PERCENT BUT NOT MORE THAN 60 PERCENT HYDROGEN PEROXIDE (STABILIZED AS NECESSARY),10000,1580.0
E-2016040547,UN1824,2016,PORT TERMINAL RAILROAD ASSOCIATION (INC),SODIUM HYDROXIDE  SOLUTION,8000000,15100.0
I-1972030040,UN1830,1972,SEABOARD COAST LIN,SULFURIC ACID,0,13350.0
I-1972030041,UN1830,1972,SEABOARD COAST LINE RR CO,SULFURIC ACID,0,13350.0
I-1972030042,UN1830,1972,SEABOARD COAST LIN,SULFURIC ACID,0,13350.0
I-1972060185,UN2031,1972,SOUTHEASTERN PENNSYLVANIA TRANSPORTATION AUTHORITY,NITRIC ACID OTHER THAN RED FUMING  WITH AT LEAST 65 PERCENT  BUT NOT MORE THAN 70 PERCENT NITRIC ACID,0,10000.0
I-1976010010,UN1203,1975,PENN CENTRAL TRANSPORTN CO,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,0,30398.0
I-1976010012,UN1789,1975,PENN CENTRAL TRANSPORTN CO,HYDROCHLORIC ACID  SOLUTION,0,15000.0
I-1976010016,UN1203,1975,PENN CENTRAL TRANSPORTN CO,GASOLINE INCLUDES GASOLINE MIXED WITH ETHYL ALCOHOL  WITH NOT MORE THAN 10% ALCOHOL,0,3100.0
I-1976010216,UN1267,1975,PENN CENTRAL TRANSPORTN CO,PETROLEUM CRUDE OIL,0,3500.0
I-1976010358,UN1715,1976,MISSOURI PACIFIC RAILROAD CO,ACETIC ANHYDRIDE,0,75000.0
I-1976010362,UN1814,1975,SOUTHERN PAC TRANSPORTATION CO,POTASSIUM HYDROXIDE  SOLUTION,0,6000.0
I-1976020002,NA1993,1976,CHICAGO & NORTHWESTERN TRAN CO,COMBUSTIBLE LIQUID  N.O.S.,0,10000.0
I-1976020005,UN1805,1976,ILLINOIS CENTRAL GULF RAILROAD,PHOSPHORIC ACID SOLUTION,0,15080.0
I-1976020206,UN1005,1976,LOUISVILLE & NASHVILLE RR,AMMONIA ANHYDROUS,0,30000.0
I-1976020207,UN1005,1976,LOUISVILLE & NASHVILLE RR,AMMONIA ANHYDROUS,0,30000.0
