facility	delayed31daysRate
Salem VA Clinic	0.0549
North Bend VA Clinic	0.0468
Jonathan M. Wainwright VA	0.0465
East Portland VA Clinic	0.0417
West Linn VA Clinic	0.0408
Portland VA-Vancouver	0.0407
Portland VA	0.0358
North Coast VA Clinic	0.0346
Eugene VA Clinic	0.0344
Roseburg VA	0.0344
South Sound VA Clinic	0.0321
Bend VA Clinic	0.0296
Southern Oregon VA-White City	0.0251
Mann-Grandstaff VA	0.0237
Mount Vernon VA Clinic	0.0219
Puget Sound VA-American Lake	0.0204
Puget Sound VA-Seattle	0.0184
Hillsboro VA Clinic	0.0111
Bellevue VA Clinic	0.0095
Puget Sound VA Mobile Clinic	0.0085
Richland VA Clinic	0.0082
Spokane VA Mobile Clinic	0.0074
Bremerton VA Clinic	0.0069
Yakima VA Clinic	0.0052
Brookings VA Clinic	0.0045
Grants Pass VA Clinic	0.0029
Klamath Falls VA Clinic	0.0029
Wenatchee VA Clinic	0.0016
La Grande VA Clinic	0.0005
